Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Liberal Arts,PSYC,,,8,16,1,25,,3,3,2,2,,,30
,RUSS,,,,,,,,,,,,,,
,SOCI,,,1,5,1,7,,,,1,1,,,8
,SPAN,,,,,,,,,,,,,,
,TCMS,,,,1,,1,,,,,,,,1
,THAR,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,
,WGST,,1,,,,1,,,,,,,,1
,Subtotal,3,6,31,49,2,91,,3,3,5,5,,,99
"Science
Veterinary Medicine
General Studies",APHY,,,,,,,,,,,,,,
,APMS,,1,,1,,2,,,,,,,,2
,BIOL,2,8,13,15,,38,,1,1,,,,,39
,BMCB,,2,,1,,3,,,,,,,,3
,CHEM,,1,3,2,,6,,4,4,6,6,,,16
,MATH,1,1,,,,2,,,,2,2,,,4
,MBIO,,,1,,,1,,,,,,,,1
,MSEN,,,,,,,,,,,,,,
,PHYS,,1,,,,1,,1,1,3,3,,,5
,STAT,,,,,,,2,6,8,,,,,8
,USSC,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,
,Subtotal,3,14,17,19,,53,2,12,14,11,11,,,78
,BIMS,,4,12,29,,45,,6,6,2,2,,,53
,BIOT,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,1,1,,,1
,VPAT,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,3,3,3
,VTMI,,,,,,,,,,,,,,
,Subtotal,,4,12,29,,45,,6,6,3,3,3,3,57
,GEST,13,11,1,,,25,,,,,,,,25
,TEAM,2,2,4,,,8,,,,,,,,8
,Subtotal,15,13,5,,,33,,,,,,,,33
