Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,,,,,,,,,,,,,,
,BMEN,,,,,,,,,,,,,,
,CHEN,,1,,,,1,,,,,,,,1
,CLEN,,,,,,,,,,,,,,
,CSCE,,,,,,,,,,,,,,
,CVEN,,,,2,,2,,,,,,,,2
,ECEN,,,,,,,,,,,,,,
,ETID,,,,,,,,,,,,,,
,ISEN,,,,,,,,,,,,,,
,MEEN,,,,1,,1,,,,,,,,1
,NUEN,,,,1,,1,,,,,,,,1
,PETE,,,,,,,,,,,,,,
,Subtotal,,1,,4,,5,,,,,,,,5
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,
,ATMO,,,,,,,,,,,,,,
,CLGE,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,,,,,
,GEPL,,,,,,,,,,,,,,
,OCNG,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,
,ANTH,,,,,,,,,,,,,,
,CLLA,,,,,,,,,,,,,,
,COMM,,,,,,,,,,,,,,
,ECON,,,,,,,,,,,,,,
,ENGL,,,,,,,,,,,,,,
,EURO,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,,,,,,,,,,,,,,
,PHUM,,,,,,,,,,,,,,
,POLS,,,,,,,,,,,,,,
,PRFM,,,,,,,,,,,,,,
,PSYC,,,,,,,,,,,,,,
,SOCI,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,
