Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,,2,2,,,4,,1,1,,,,,5
,BMEN,,,2,2,,4,,1,1,,,,,5
,CHEN,,,,3,,3,,1,1,,,,,4
,CLEN,,,,,,,,,,,,,,
,CSCE,,,1,2,,3,,,,,,,,3
,CVEN,,,,3,,3,,,,1,1,,,4
,ECEN,1,1,3,5,,10,,,,,,,,10
,ETID,,,,1,,1,,,,,,,,1
,ISEN,,,4,1,,5,,,,,,,,5
,MEEN,1,,1,,,2,,2,2,1,1,,,5
,NUEN,,,1,1,,2,,1,1,,,,,3
,PETE,,,2,,,2,,1,1,,,,,3
,Subtotal,2,3,16,18,,39,,7,7,2,2,,,48
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,2,2,4,,,,,4
,Subtotal,,,,,,,2,2,4,,,,,4
,ATMO,,,,1,,1,,,,,,,,1
,CLGE,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,2,2,,,2
,GEPL,1,,,2,,3,,,,,,,,3
,OCNG,,,,,,,,,,,,,,
,Subtotal,1,,,3,,4,,,,2,2,,,6
,ANTH,,,,,,,,1,1,,,,,1
,CLLA,1,2,1,3,,7,,,,,,,,7
,COMM,,,2,5,,7,,,,,,,,7
,ECON,,1,,2,,3,,,,,,,,3
,ENGL,,1,3,3,,7,,,,1,1,,,8
,EURO,1,,,,,1,,,,,,,,1
,HISP,,,,,,,,,,,,,,
,HIST,,1,1,4,,6,,,,1,1,,,7
,PHUM,,,,,,,,,,,,,,
,POLS,,,,4,,4,,,,,,,,4
,PRFM,,,,,,,,,,,,,,
,PSYC,1,,3,1,,5,,,,,,,,5
,SOCI,,,,,,,,1,1,1,1,,,2
,Subtotal,3,5,10,22,,40,,2,2,3,3,,,45
