Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Liberal Arts,PSYC,,,,2,,2,,,,,,,,2
,RUSS,,,,,,,,,,,,,,
,SOCI,,1,,1,,2,,,,1,1,,,3
,SPAN,,,,,,,,,,,,,,
,TCMS,,,,1,,1,,,,,,,,1
,THAR,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,
,Subtotal,,1,3,5,,9,,,,3,3,,,12
"Science
Veterinary Medicine
General Studies",APHY,,,,,,,,,,,,,,
,APMS,1,,,1,,2,,,,,,,,2
,BIOL,2,,,,,2,,,,,,,,2
,BMCB,,,,1,,1,,,,,,,,1
,CHEM,1,1,5,6,,13,,,,2,2,,,15
,MATH,,,,,,,,,,,,,,
,MBIO,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,
,PHYS,1,,3,2,,6,,1,1,1,1,,,8
,STAT,,,,,,,1,1,2,,,,,2
,USSC,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,
,Subtotal,5,1,8,10,,24,1,2,3,3,3,,,30
,BIMS,,,1,,,1,,,,,,,,1
,BIOT,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,2,2,2
,VTMI,,,,,,,,,,,,,,
,Subtotal,,,1,,,1,,,,,,2,2,3
,GEST,1,,,,,1,,,,,,,,1
,TEAM,,,,,,,,,,,,,,
,Subtotal,1,,,,,1,,,,,,,,1
