Summer 2012,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Other - Special                       GACD
Populations                             MDSC MEEN OCRE PHLT REEP
Subtotal
University                                Total",,,,,,,,,,,,,,,
,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,,
,,,,1,,1,,,,,,,,1,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,1,,1,1,,1,,,,,2,
,158,223,535,996,10,"1,922",17,235,252,229,229,21,21,"2,424",
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,
