Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Liberal Arts,PSYC,,27,120,161,2,310,,10,10,33,33,,,353
,RUSS,2,,1,1,1,5,,,,,,,,5
,SOCI,1,3,41,59,,104,,3,3,10,10,,,117
,SPAN,,,2,10,1,13,,,,,,,,13
,TCMS,1,2,13,20,,36,,,,,,,,36
,THAR,,1,1,5,,7,,,,,,,,7
,USLA,,1,1,2,,4,,,,,,,,4
,WGST,,,1,1,,2,,,,,,,,2
,Subtotal,18,125,504,783,7,"1,437",,35,35,126,126,,,"1,598"
"Science
Veterinary Medicine
General Studies",APHY,,,,,,,,1,1,4,4,,,5
,APMS,,2,12,10,,24,,,,,,,,24
,BIOL,5,13,33,67,4,122,,4,4,15,15,,,141
,BMCB,,2,3,7,,12,,,,,,,,12
,CHEM,1,3,9,19,1,33,,18,18,67,67,,,118
,MATH,2,4,9,21,,36,1,29,30,22,22,,,88
,MBIO,1,,,7,,8,,1,1,3,3,,,12
,MSEN,,,,,,,,,,,,,,
,PHYS,2,5,9,8,1,25,,17,17,34,34,,,76
,STAT,,,,,,,11,35,46,5,5,,,51
,USSC,,,2,6,,8,,,,,,,,8
,ZOOL,,1,6,7,,14,,,,6,6,,,20
,Subtotal,11,30,83,152,6,282,12,105,117,156,156,,,555
,BIMS,8,23,55,156,,242,1,30,31,9,9,,,282
,BIOT,,,,,,,,,,,,,,
,GENE,,,,,,,,1,1,6,6,,,7
,LAMD,,,,,,,,2,2,,,,,2
,STJR,,,,,,,,1,1,,,,,1
,TOXI,,,,,,,,2,2,5,5,,,7
,VPAT,,,,,,,,2,2,8,8,,,10
,VPHY,,,,,,,,,,1,1,,,1
,VTMD,,,,,,,,,,,,133,133,133
,VTMI,,,,,,,,1,1,4,4,,,5
,Subtotal,8,23,55,156,,242,1,39,40,33,33,133,133,448
,GEST,291,160,17,,,468,,,,,,,,468
,TEAM,29,50,17,,,96,,,,,,,,96
,Subtotal,320,210,34,,,564,,,,,,,,564
