Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
"Science                                   BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,291,12,47,,350
,,79,45,193,,317
,,12,,,,12
,,96,49,84,,229
,,40,43,108,,191
,,,79,33,,112
,,518,228,465,,"1,211"
"Veterinary Medicine
General Studies
Other - Special Populations",CLVM,377,16,5,163,561
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARS MEEN SABX SRPH
Subtotal",,17,16,,33
,,,7,1,,8
,,,4,6,,10
,,,15,23,,38
,,,9,22,,31
,,377,68,73,163,681
,,849,,,,849
,,849,,,,849
,,,4,,,4
,,2,,,,2
,,1,,,,1
,,1,,,,1
,,5,,,,5
,,,7,,,7
,,9,11,,,20
Total,,11645,2767,2695,163,17270
