Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,3,,3,,,,,3
,CHLS,,,,,,,2,,2,,,,,2
,CNPM,,,,,,,2,,2,,,,,2
,CNSA,,,,,,,,,,,,,,
,INTA,,,,,,,,2,2,,,,,2
,PSAA,,,,,,,,2,2,,,,,2
,Subtotal,,,,,,,7,4,11,,,,,11
"Geosciences
Liberal Arts",ATMO,,,,,,,,1,1,,,,,1
,ENGS,,,1,2,,3,,,,,,,,3
,ENST,,,3,4,,7,,,,,,,,7
,GEOG,,1,1,,,2,,1,1,1,1,,,4
,GEOL,2,1,2,12,,17,,,,,,,,17
,GEOP,2,,,2,,4,,,,1,1,,,5
,GEOS,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,
,METR,,1,2,2,,5,,,,,,,,5
,OCNG,,,,,,,,3,3,1,1,,,4
,SPSG,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,
,WMHS,,,,,,,,2,2,,,,,2
,Subtotal,4,3,9,22,,38,,7,7,3,3,,,48
,ANTH,,2,4,14,,20,,,,,,,,20
,CLSS,,,,,,,,,,,,,,
,COMM,,3,6,11,,20,,,,2,2,,,22
,ECON,,1,17,12,,30,,1,1,,,,,31
,ENGL,,1,13,17,,31,,,,8,8,,,39
,FREN,,,2,,,2,,,,,,,,2
,GERM,,,,,,,,,,,,,,
,HISP,,,,,,,,,,13,13,,,13
,HIST,,1,15,18,,34,,,,1,1,,,35
,INTS,2,6,13,31,,52,,,,,,,,52
,MUSC,,1,,2,,3,,,,,,,,3
,NRSC,,,,,,,,1,1,1,1,,,2
,NUTR,,,,,,,,,,,,,,
,PHIL,1,1,,2,,4,,,,2,2,,,6
,POLS,1,3,20,14,,38,,1,1,2,2,,,41
