Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Education,HEED,,26,16,,42
,HLTH,95,,,,95
,HRDL,60,,,,60
,HRDV,113,,,,113
,INST,338,,,,338
,KINE,160,28,42,,230
,SPED,,10,,,10
,SPMT,113,30,,,143
,SPSY,,2,28,,30
,TCMG,38,,,,38
,TCML,27,,,,27
,TECR,1,,,,1
,USEH,1,,,,1
,Subtotal,"1,449",415,423,,"2,287"
