Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,,6,15,,21,,1,1,,,,,22,
,ALEC,2,4,17,24,,47,1,2,3,2,2,,,52,
,ANSC,2,2,7,18,,29,,4,4,3,3,,,36,
,BAEN,1,3,9,11,1,25,,3,3,1,1,,,29,
,BCBP,,1,5,7,,13,,1,1,8,8,,,22,
,CLAG,,,5,2,,7,,,,,,,,7,
,ENTO,,1,2,10,,13,,4,4,3,3,,,20,
,ESSM,,1,3,8,,12,,5,5,6,6,,,23,
,HRSC,,,1,3,,4,,,,2,2,,,6,
,NFSC,,1,6,22,2,31,,1,1,,,,,32,
,PLPM,1,3,8,23,,35,,2,2,6,6,,,43,
,POSC,,2,3,3,,8,,5,5,,,,,13,
,RPTS,,3,4,16,1,24,,,,,,,,24,
,SCSC,2,1,,4,,7,,1,1,2,2,,,10,
,WFSC,1,2,2,17,,22,,8,8,10,10,,,40,
,Subtotal,9,24,78,183,4,298,1,37,38,43,43,,,379,
Architecture,ARCH,2,7,5,7,,21,,6,6,1,1,,,28,
,CLAR,,,1,5,,6,,,,,,,,6,
,COSC,,5,10,24,1,40,1,2,3,,,,,43,
,LAUP,,1,3,4,,8,,1,1,,,,,9,
,VIZA,,3,2,3,1,9,,2,2,,,,,11,
,Subtotal,2,16,21,43,2,84,1,11,12,1,1,,,97,
Business Admin,ACCT,,1,15,27,,43,,6,6,,,,,49,
,CLBA,1,16,18,6,,41,,,,,,,,41,
,FINC,,,10,15,,25,,11,11,1,1,,,37,
,INFO,,1,8,13,,22,,3,3,,,,,25,
,MGMT,,,10,10,,20,,1,1,,,,,21,
,MKTG,,,6,6,,12,,3,3,,,,,15,
,Subtotal,1,18,67,77,,163,,24,24,1,1,,,188,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,9,36,,45,,22,22,38,38,,,105,
,EPSY,,1,9,15,,25,,12,12,24,24,,,61,
,HLKN,4,7,30,79,,120,,16,16,7,7,,,143,
,TLAC,,4,10,25,,39,1,16,17,5,5,,,61,
,Subtotal,4,12,58,155,,229,1,66,67,74,74,,,370,
