Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
G. Bush School of Govt,CAIA,,33,,,33
,CHLS,,15,,,15
,CNPM,,16,,,16
,CNSA,,9,,,9
,INTA,,22,,,22
,PSAA,,16,,,16
,Subtotal,,111,,,111
Geosciences,ATMO,,23,24,,47
,ENGS,38,,,,38
,ENST,36,,,,36
,GEOG,25,7,12,,44
,GEOL,96,23,17,,136
,GEOP,20,5,12,,37
,GEOS,,2,,,2
,MARB,,1,,,1
,METR,25,,,,25
,OCNG,,25,32,,57
,SPSG,3,,,,3
,USGE,1,,,,1
,WMHS,,8,5,,13
,Subtotal,244,94,102,,440
