Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,CEEL,,,1,,,1,,,,,,,,1
,CEEN,,,,1,,1,,,,,,,,1
,CHEL,1,,1,,,2,,,,,,,,2
,CHEN,,,,3,,3,,,,,,,,3
,CPSC,,,,4,,4,,1,1,1,1,,,6
,CPSL,,3,1,,,4,,,,,,,,4
,CVEL,,2,,,,2,,,,,,,,2
,CVEN,,,,6,,6,,2,2,,,,,8
,ELEL,,,1,,,1,,,,,,,,1
,ELEN,,,1,4,,5,,2,2,1,1,,,8
,ENGR,,,,,,,,,,,,,,
,ENSM,,,,,,,,1,1,,,,,1
,ENTC,,,,,,,,,,,,,,
,ENTL,,1,,1,,2,,,,,,,,2
,HLPH,,,,,,,,,,,,,,
,IDIL,,,1,1,,2,,,,,,,,2
,IDIS,,1,1,2,,4,,,,,,,,4
,INEL,1,,1,,,2,,,,,,,,2
,INEN,,,3,5,,8,,,,2,2,,,10
,ITDE,,,,,,,,,,,,,,
,MEEL,1,2,,,,3,,,,,,,,3
,MEEN,,,2,2,,4,,2,2,1,1,,,7
,MSEN,,,,,,,,,,1,1,,,1
,NUEL,,,,,,,,,,,,,,
,NUEN,,,1,2,,3,,,,1,1,,,4
,OCEL,,,,,,,,,,,,,,
,OCEN,,,,1,,1,,,,,,,,1
,PETE,,,1,,,1,,4,4,2,2,,,7
,PETL,,,2,1,,3,,,,,,,,3
,RHEL,,,,,,,,,,,,,,
,RHEN,,,1,,,1,,,,,,,,1
,SENG,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,5,12,20,37,,74,,12,12,11,11,,,97
