Summer 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Geosciences,ATMO,30,,,,1,,,16,,47
,ENGS,31,1,3,,3,,,,,38
,ENST,24,1,1,2,7,,,1,,36
,GEOG,31,1,,1,4,,1,6,,44
,GEOL,76,1,6,1,17,,2,20,13,136
,GEOP,13,,4,,5,,1,13,1,37
,GEOS,2,,,,,,,,,2
,MARB,1,,,,,,,,,1
,METR,17,,1,1,5,,1,,,25
,OCNG,26,1,1,1,4,,,23,1,57
,SPSG,3,,,,,,,,,3
,USGE,1,,,,,,,,,1
,WMHS,6,,,,2,,1,4,,13
,Subtotal,261,5,16,6,48,,6,83,15,440
Liberal Arts,ANTH,53,,1,4,20,,1,2,,81
,CLSS,1,,,,,,,,,1
,COMM,169,1,5,9,22,,7,5,,218
,ECON,178,1,16,11,31,,3,64,2,306
,ENGL,148,2,8,11,39,,8,6,,222
,FREN,5,,,,2,,,,1,8
,GERM,2,,,,,,,1,,3
,HISP,,,,,13,,,4,,17
,HIST,158,,3,3,35,,7,4,1,211
,INTS,151,1,8,12,52,,7,3,,234
,MUSC,8,,,1,3,,,,,12
,NRSC,6,,1,1,2,,,3,,13
,NUTR,1,,,,,,,,,1
,PHIL,26,1,3,1,6,,,,1,38
,POLS,155,,14,13,41,,4,5,1,233
,PSYC,353,1,30,26,102,,5,13,2,532
,RUSS,5,,,,1,,1,,,7
,SOCI,117,,8,38,58,,2,5,3,231
