Asian Only (NEW),,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ADEV,,,,,,,,,,,,,,,
,AGBL,,,,,,,,,,,,,,,
,AGBU,,,,,,,,,,,,,,,
,AGCJ,,,,1,,1,,,,,,,,1,
,AGEC,,,,,,,,,,,,,,,
,AGLS,,,,,1,1,,,,,,,,1,
,AGRO,,,1,,,1,,,,,,,,1,
,AGSC,,,,,,,,,,,,,,,
,AGSM,,,,,,,,,,,,,,,
,ALEC,,,,,,,,,,,,,,,
,ALED,,,,1,,1,,,,,,,,1,
,ANBR,,,,,,,,,,,,,,,
,ANSC,,,,3,,3,,,,,,,,3,
,BAEN,1,,,3,1,5,,,,1,1,,,6,
,BESC,,,1,6,,7,,,,,,,,7,
,BICH,2,1,2,8,,13,,,,,,,,13,
,CDEV,,,,1,,1,,,,,,,,1,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,1,,,1,,2,2,,,,,3,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,,,,,,,,,,,,
,FIVS,,,,2,,2,,,,,,,,2,
,FORS,,,,,,,,,,,,,,,
,FSTC,,,,1,1,2,,,,,,,,2,
,GENE,,,1,2,,3,,,,1,1,,,4,
,HORT,,,,,,,,,,1,1,,,1,
,MEPS,,,,,,,,,,1,1,,,1,
,NRDV,,,,,,,,,,,,,,,
,NUSC,,,4,8,,12,,,,,,,,12,
,NUTR,,,,,,,,2,2,,,,,2,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,,,,,,,,
,POSC,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
