Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,2,,2,,,,,2
,CHLS,,,,,,,,,,,,,,
,CNPM,,,,,,,,,,,,,,
,CNSA,,,,,,,,,,,,,,
,INTA,,,,,,,,2,2,,,,,2
,PSAA,,,,,,,,,,,,,,
,Subtotal,,,,,,,2,2,4,,,,,4
"Geosciences
Liberal Arts",ATMO,,,,,,,,,,,,,,
,ENGS,,,,3,,3,,,,,,,,3
,ENST,,,1,,,1,,,,,,,,1
,GEOG,,,,,,,,,,,,,,
,GEOL,,2,1,2,,5,,,,1,1,,,6
,GEOP,1,,,3,,4,,,,,,,,4
,GEOS,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,
,METR,,,,1,,1,,,,,,,,1
,OCNG,,,,,,,,,,1,1,,,1
,SPSG,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,1,2,2,9,,14,,,,2,2,,,16
,ANTH,,,,1,,1,,,,,,,,1
,CLSS,,,,,,,,,,,,,,
,COMM,1,,2,2,,5,,,,,,,,5
,ECON,,1,7,8,,16,,,,,,,,16
,ENGL,,,5,3,,8,,,,,,,,8
,FREN,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,1,,2,,,3,,,,,,,,3
,INTS,,1,1,6,,8,,,,,,,,8
,MUSC,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,1,1,,,1
,NUTR,,,,,,,,,,,,,,
,PHIL,,,1,2,,3,,,,,,,,3
,POLS,1,3,4,5,,13,,,,1,1,,,14
