Summer 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,"2 or More/
Black (NEW)",Excluding,Interna,tional,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Liberal Arts,ANTH,35,18,,,,1,3,1,13,7,,,,1,,2,,,51,30,81,
,CLLA,89,68,,1,4,5,7,6,44,13,,,3,4,2,1,,,149,98,247,
,COMM,150,55,1,,5,1,6,5,17,8,,,6,1,4,1,,1,189,72,261,
,ECON,37,141,,1,1,15,2,9,6,25,,,,3,34,30,,2,80,226,306,
,ENGL,110,38,2,,6,2,11,,28,11,,,6,2,2,4,,,165,57,222,
,EURO,7,6,,,,,,,2,1,,,1,,,1,1,,11,8,19,
,HISP,11,2,,,,,,,18,12,,,,,,4,,,29,18,47,
,HIST,64,94,,,1,2,2,1,15,20,,,3,4,3,1,,1,88,123,211,
,PHUM,8,18,,1,2,1,1,,1,5,,,,,,,,1,12,26,38,
,POLS,51,104,,,7,7,7,6,14,27,,,3,1,4,1,,1,86,147,233,
,PRFM,8,7,,,,,,2,2,2,,,,,,,,,10,11,21,
,PSYC,266,93,,1,18,13,19,8,79,25,,,5,,9,7,2,,398,147,545,
,SOCI,86,32,,,6,2,22,16,39,19,,,1,1,3,2,1,2,158,74,232,
,Subtotal,922,676,3,4,50,49,80,54,278,175,,,28,17,61,54,4,8,"1,426","1,037","2,463",
Science,BIOL,94,91,,1,19,24,11,3,40,31,,,1,3,19,10,1,2,185,165,350,
,CHEM,44,74,,1,6,10,3,4,15,17,,,2,,39,87,8,7,117,200,317,
,CLSC,6,2,,,,,1,,1,2,,,,,,,,,8,4,12,
,MATH,43,69,,,6,,3,1,6,16,,,4,5,24,50,1,1,87,142,229,
,PHYS,10,71,1,,1,4,,3,3,14,,,2,3,4,67,3,5,24,167,191,
,STAT,17,34,,1,4,4,1,3,6,7,,,1,1,14,17,1,1,44,68,112,
,Subtotal,214,341,1,3,36,42,19,14,71,87,,,10,12,100,231,14,16,465,746,"1,211",
"Veterinary Medicine
General Studies
Other - Special Populations",CLVM,274,113,,,29,20,15,4,63,24,,,7,3,3,3,1,2,392,169,561,
,VIBS,9,4,,,,2,2,,,1,,,1,,7,7,,,19,14,33,
,VLCS,7,,1,,,,,,,,,,,,,,,,8,,8,
,VSCS,,1,,,,,,,,2,,,1,,2,4,,,3,7,10,
,VTPB,21,4,,,2,,2,,2,2,,,,,3,2,,,30,8,38,
,VTPP,12,3,,,1,3,1,,,,,,,,5,6,,,19,12,31,
,Subtotal,323,125,1,,32,25,20,4,65,29,,,9,3,20,22,1,2,471,210,681,
,GEST,249,315,3,2,15,18,28,21,74,95,,2,7,8,1,10,,1,377,472,849,
,Subtotal,249,315,3,2,15,18,28,21,74,95,,2,7,8,1,10,,1,377,472,849,
,CLMD,,,,,,,,,1,,,,,,1,,2,,4,,4,
,GACD,2,,,,,,,,,,,,,,,,,,2,,2,
,MARS,,,,,,,,,,1,,,,,,,,,,1,1,
,MEEN,,,,,,,,,,,,,,,,1,,,,1,1,
,SABX,,,,,,,,,,,,,,,3,2,,,3,2,5,
,SRPH,1,4,,,,,1,,,,,,,,1,,,,3,4,7,
,Subtotal,3,4,,,,,1,,1,1,,,,,5,3,2,,12,8,20,
Total,,"5,017","5,536",28,26,307,415,384,337,"1,206","1,218",6,8,141,141,736,"1,594",70,100,"7,895","9,375","17,270",
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,
