Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Agriculture,ADEV,,9,,,9
,AGBL,23,,,,23
,AGBU,72,19,,,91
,AGCJ,147,,,,147
,AGEC,121,16,22,,159
,AGLS,45,,,,45
,AGRO,31,14,8,,53
,AGSC,51,,,,51
,AGSM,52,2,,,54
,ALEC,,46,35,,81
,ALED,270,,,,270
,ANBR,,2,2,,4
,ANSC,256,33,17,,306
,BAEN,59,19,23,,101
,BESC,101,,,,101
,BICH,66,22,72,,160
,CDEV,17,,,,17
,DASC,,1,,,1
,ECOR,7,,,,7
,ENST,15,,,,15
,ENTO,41,13,28,,82
,FISC,,1,,,1
,FIVL,3,,,,3
,FIVS,19,,,,19
,FORS,4,5,7,,16
