Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                                     BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,2,2,4,6,,14,,,,,,,,14,
,,,,,1,,1,,1,1,5,5,,,7,
,,,,,1,,1,,,,,,,,1,
,,1,,,2,,3,,,,1,1,,,4,
,,1,,,,,1,,1,1,1,1,,,3,
,,,,,,,,1,3,4,,,,,4,
,,4,2,4,10,,20,1,5,6,7,7,,,33,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,3,1,5,7,,16,,1,1,,,2,2,19,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARS MEEN SABX SRPH
Subtotal Total",,,,,,,,2,2,,,,,2,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,2,,,2,
,,,,,,,,,1,1,,,,,1,
,,3,1,5,7,,16,,4,4,2,2,2,2,24,
,,25,22,2,,,49,,,,,,,,49,
,,25,22,2,,,49,,,,,,,,49,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,1,,1,,,,,1,
,,70,89,118,215,,492,11,86,97,130,130,2,2,721,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,
