Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,PSSC,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,
,RLEM,,,,,,,,,,,,,,
,RPTS,,,1,,,1,,,,,,,,1
,SOSC,,,,,,,,,,,,,,
,SPSA,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,
,WFSC,,,,,,,,,,,,,,
,WISC,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,,,2,,,2,,,,1,1,,,3
Architecture,ARCH,,,,,,,,,,,,,,
,COMG,,,,,,,,,,,,,,
,COSC,,,,,,,,,,,,,,
,COSL,,,,,,,,,,,,,,
,ENDL,,,,,,,,,,,,,,
,ENDS,,,,,,,,,,,,,,
,LAND,,,,,,,,,,,,,,
,LANL,,,,,,,,,,,,,,
,LDEV,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,
,URSC,,,1,,,1,,,,,,,,1
,USAR,,,,,,,,,,,,,,
,VISL,,,,,,,,,,,,,,
,VIST,,,,,,,,,,,,,,
,Subtotal,,,1,,,1,,,,,,,,1
Business Admin,ACCT,,,,,,,,,,,,,,
,AGBU,,,,,,,,,,,,,,
,BHNR,,,,,,,,,,,,,,
,BUAD,1,,,,,1,,,,,,,,1
,FINC,,,,,,,,,,,,,,
,INFO,,,,,,,,,,,,,,
,MGMT,,,,,,,,,,,,,,
,MISY,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,
