Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,,,,,,,,
,CHLS,,,,,,,,,,,,,,
,CNPM,,,,,,,,,,,,,,
,CNSA,,,,,,,,,,,,,,
,INTA,,,,,,,,,,,,,,
,PSAA,,,,,,,,1,1,,,,,1
,Subtotal,,,,,,,,1,1,,,,,1
"Geosciences
Liberal Arts",ATMO,,,,,,,,,,,,,,
,ENGS,,,,1,,1,,,,,,,,1
,ENST,,,,1,,1,,,,,,,,1
,GEOG,,,1,,,1,,,,,,,,1
,GEOL,,,,,,,1,,1,,,,,1
,GEOP,,,,,,,,,,,,,,
,GEOS,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,
,METR,,,,,,,,,,,,,,
,OCNG,,,,,,,,1,1,,,,,1
,SPSG,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,,,1,2,,3,1,1,2,,,,,5
,ANTH,,,,,,,,,,,,,,
,CLSS,,,,,,,,,,,,,,
,COMM,,,,1,,1,,,,,,,,1
,ECON,,,,1,,1,,,,,,,,1
,ENGL,,,,2,,2,,,,,,,,2
,FREN,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,,,,,,,,,,,,,,
,INTS,,,,1,,1,,,,,,,,1
,MUSC,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,
,PHIL,,,,1,,1,,,,,,,,1
,POLS,,,,,,,,,,,,,,
