Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Architecture,ARCH,,36,20,,56
,COMG,,23,,,23
,COSC,195,,,,195
,COSL,96,,,,96
,ENDL,47,,,,47
,ENDS,34,,,,34
,LAND,14,16,,,30
,LANL,11,,,,11
,LDEV,,18,,,18
,URPL,,7,,,7
,URSC,18,,8,,26
,USAR,28,,,,28
,VISL,28,,,,28
,VIST,29,39,,,68
,Subtotal,500,139,28,,667
