Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Business Admin,"MLER USBU
Subtotal",,,,,,,,,,,,,,
,,,,3,2,,5,,,,,,,,5
,,5,10,14,17,,46,,13,13,1,1,,,60
"Education
Engineering",ATTR,,,,,,,,1,1,,,,,1
,BIED,,,,,,,,,,,,,,
,CPSY,,,,,,,,2,2,4,4,,,6
,EDAD,,,,,,,,5,5,17,17,,,22
,EDCI,,,,,,,1,7,8,33,33,,,41
,EDHL,,2,5,2,,9,,,,,,,,9
,EDIS,1,1,2,,,4,,,,,,,,4
,EDKI,3,2,,,,5,,,,,,,,5
,EDSM,6,2,1,4,,13,,,,,,,,13
,EDTC,,,,,,,,,,,,,,
,EHRD,,,,,,,,2,2,8,8,,,10
,EPSY,,,,,,,1,1,2,2,2,,,4
,HEED,,,,,,,,2,2,4,4,,,6
,HLTH,,,,4,,4,,,,,,,,4
,HRDL,,,3,4,,7,,,,,,,,7
,HRDV,,,,5,,5,,,,,,,,5
,INST,,1,,6,,7,,,,,,,,7
,KINE,,,,2,,2,,5,5,2,2,,,9
,SPED,,,,,,,,,,,,,,
,SPMT,,,,9,,9,,4,4,,,,,13
,SPSY,,,,,,,,,,4,4,,,4
,TCMG,,,,,,,,,,,,,,
,TCML,,,1,1,,2,,,,,,,,2
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,10,8,12,37,,67,2,29,31,74,74,,,172
,AERL,,1,,,,1,,,,,,,,1
,AERO,1,,,2,,3,,,,1,1,,,4
,BIOT,,,,,,,,,,,,,,
,BMEL,,,,,,,,,,,,,,
,BMEN,,1,2,,,3,,,,1,1,,,4
,CECL,1,,,,,1,,,,,,,,1
,CECN,,1,,2,,3,,,,,,,,3
