Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,1,1,,2,,4,,,,1,1,,,5
,BMEN,,1,2,,,3,,,,1,1,,,4
,CHEN,1,,1,3,,5,,,,1,1,,,6
,CLEN,,,,,,,,,,,,,,
,CSCE,1,4,1,6,,12,,1,1,1,1,,,14
,CVEN,,2,,7,,9,,2,2,,,,,11
,ECEN,,,3,5,,8,,2,2,1,1,,,11
,ETID,,2,2,4,,8,,,,,,,,8
,ISEN,1,,4,5,,10,,1,1,2,2,,,13
,MEEN,1,2,2,2,,7,,2,2,1,1,,,10
,NUEN,,,2,2,,4,,,,1,1,,,5
,PETE,,,3,1,,4,,4,4,2,2,,,10
,Subtotal,5,12,20,37,,74,,12,12,11,11,,,97
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,6,1,7,,,,,7
,Subtotal,,,,,,,6,1,7,,,,,7
,ATMO,,,,1,,1,,,,,,,,1
,CLGE,,,,,,,,,,,,,,
,GEOG,,,1,1,,2,,,,1,1,,,3
,GEPL,,,,,,,,1,1,,,,,1
,OCNG,,,,,,,,,,1,1,,,1
,Subtotal,,,1,2,,3,,1,1,2,2,,,6
,ANTH,,,,1,,1,,,,3,3,,,4
,CLLA,,2,2,9,,13,,,,,,,,13
,COMM,2,3,3,2,,10,,,,1,1,,,11
,ECON,1,1,4,4,,10,,1,1,,,,,11
,ENGL,,1,2,7,,10,,,,1,1,,,11
,EURO,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,1,,1,1,,3,,,,,,,,3
,PHUM,,,1,,,1,,,,,,,,1
,POLS,1,3,3,4,,11,,,,2,2,,,13
,PRFM,2,,,,,2,,,,,,,,2
,PSYC,,1,10,12,,23,,2,2,2,2,,,27
,SOCI,2,5,6,14,,27,,3,3,8,8,,,38
,Subtotal,9,16,32,54,,111,,6,6,17,17,,,134
