Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                                     BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,,1,1,1,,3,,5,5,21,21,,,29,
,,,,,6,,6,,21,21,99,99,,,126,
,,,,,,,,,,,,,,,,
,,,,,,,,,16,16,58,58,,,74,
,,,,,2,,2,,16,16,53,53,,,71,
,,,,,,,,,5,5,26,26,,,31,
,,,1,1,9,,11,,63,63,257,257,,,331,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,,,,1,,1,,2,2,3,3,,,6,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARS MEEN SABX SRPH
Subtotal Total",,,,,,,,5,5,9,9,,,14,
,,,,,,,,,,,,,,,,
,,,,,,,,,1,1,5,5,,,6,
,,,,,,,,,1,1,4,4,,,5,
,,,,,,,,,,,11,11,,,11,
,,,,,1,,1,,9,9,32,32,,,42,
,,7,4,,,,11,,,,,,,,11,
,,7,4,,,,11,,,,,,,,11,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,1,,,,1,,,,,,,,1,
,,,5,,,,5,,,,,,,,5,
,,,,,,,,1,,1,,,,,1,
,,,6,,,,6,2,,2,,,,,8,
,,16,32,54,130,1,233,2,790,792,"1,305","1,305",,,"2,330",
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,
