Top 10,,,,,,,,,
Summer 2012 Feeder Patterns First Time In College,,,,,,,,,
Texas County     Students   % Total,,,,,,,,,
Harris,,,77,,15.8%,,,,
Dallas,,,36,,7.4%,,,,
Brazos,,,34,,7.0%,,,,
Bexar,,,28,,5.8%,,,,
Travis,,,23,,4.7%,,,,
Tarrant,,,22,,4.5%,,,,
Hidalgo,,,20,,4.1%,,,,
Fort Bend,,,19,,3.9%,,,,
Montgomery,,,16,,3.3%,,,,
Collin,,,12,,2.5%,,,,
State,Students   % Total,,,,,,,,
Texas,464,,,95.5%,,,,,
California,6,,,1.2%,,,,,
Florida,2,,,0.4%,,,,,
Virginia,2,,,0.4%,,,,,
Pennsylvania,1,,,0.2%,,,,,
Oklahoma,1,,,0.2%,,,,,
Nebraska,1,,,0.0%,,,,,
Missouri,1,,,0.0%,,,,,
Maryland,1,,,0.0%,,,,,
Maine,1,,,0.0%,,,,,
Country,,Students   % Total,,,,,,,
United States,,485,,,,99.8%,,,
Luxembourg,,1,,,,0.2%,,,
Page 150,,,,,,,,,
