Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,3,14,28,47,1,93,,31,31,26,26,,,150
,BMEN,2,9,20,39,,70,,23,23,17,17,,,110
,CHEN,1,5,19,71,,96,1,9,10,10,10,,,116
,CLEN,,,,1,,1,,,,,,,,1
,CSCE,6,12,38,50,,106,1,17,18,14,14,,,138
,CVEN,5,18,54,117,,194,1,42,43,19,19,,,256
,ECEN,6,18,46,61,4,135,,8,8,10,10,,,153
,ETID,1,9,64,113,1,188,,,,,,,,188
,ISEN,2,11,41,83,,137,,14,14,2,2,,,153
,MEEN,5,7,57,117,2,188,,45,45,36,36,,,269
,NUEN,2,7,29,38,,76,,36,36,13,13,,,125
,PETE,4,5,32,16,,57,2,44,46,3,3,,,106
,Subtotal,37,115,428,753,8,"1,341",5,269,274,150,150,,,"1,765"
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,55,25,80,,,,,80
,Subtotal,,,,,,,55,25,80,,,,,80
,ATMO,1,1,6,9,,17,,20,20,10,10,,,47
,CLGE,,1,4,27,,32,,,,,,,,32
,GEOG,1,3,16,29,,49,,9,9,4,4,,,62
,GEPL,10,3,9,40,,62,,21,21,10,10,,,93
,OCNG,,,,,,,,16,16,11,11,,,27
,Subtotal,12,8,35,105,,160,,66,66,35,35,,,261
,ANTH,2,1,15,24,,42,,3,3,8,8,,,53
,CLLA,3,19,52,81,2,157,,,,,,,,157
,COMM,2,18,61,107,,188,,2,2,15,15,,,205
,ECON,4,14,60,90,,168,,4,4,6,6,,,178
,ENGL,2,11,45,73,,131,,,,17,17,,,148
,EURO,3,,4,5,1,13,,,,,,,,13
,HISP,,,2,10,1,13,,,,,,,,13
,HIST,,11,47,90,,148,,,,10,10,,,158
,PHUM,,2,5,11,,18,,2,2,6,6,,,26
,POLS,,16,50,63,1,130,,9,9,16,16,,,155
,PRFM,1,3,2,9,,15,,,,,,,,15
,PSYC,,27,120,161,2,310,,11,11,38,38,,,359
,SOCI,1,3,41,59,,104,,4,4,10,10,,,118
,Subtotal,18,125,504,783,7,"1,437",,35,35,126,126,,,"1,598"
