Summer 2012,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,
Engineering,AERL,3,1,,41,,,,,,,,,45
,AERO,,,,92,,3,,39,2,,56,,192
,BIOT,,,,,,,,16,,,,,16
,BMEL,1,,,23,,,,,,,,,24
,BMEN,,,,83,,3,,34,1,,40,,161
,CECL,3,,,19,,,,,,,,,22
,CECN,,,1,56,,,,21,,,31,,109
,CEEL,,2,,14,,,,,,,,,16
,CEEN,,,,30,,,,29,,,16,,75
,CHEL,2,,,21,,,,,,,,,23
,CHEN,,,,153,1,,,31,,,64,,249
,CPSC,,,,60,,1,,60,1,,50,,172
,CPSL,,,,47,,,,,,,,,47
,CVEL,7,,,30,,,,,,,,,37
,CVEN,,,,211,1,,,82,2,,107,,403
,ELEL,7,,1,68,,,,,,,,,76
,ELEN,,,,143,,,,70,3,,128,,344
,ENGR,,,,,,,,,,,3,,3
,ENSM,,,,,,1,,5,,,,,6
,ENTC,,,,69,,,,,,,,,69
,ENTL,,3,2,33,,,,,,,,,38
,HLPH,,,,,,,,5,,,,,5
,IDIL,,,,31,,,,,,,,,31
,IDIS,,2,1,115,,,,,,,,,118
,INEL,1,1,1,35,,,,,,,,,38
,INEN,,,,200,,6,,53,1,,29,,289
,ITDE,,,,,,,,,,,1,,1
,MEEL,7,1,1,22,,,,,,,,,31
,MEEN,,,,244,,4,,77,1,,140,,466
,MSEN,,,,,,,,12,3,,55,,70
,NUEL,1,,1,12,,,,,,,,,14
,NUEN,,,,73,,5,,46,2,,31,,157
,OCEL,1,,,5,,,,,,,,,6
,OCEN,,,,33,,,,21,,,15,,69
,PETE,,,,66,1,10,,150,3,,86,,316
,PETL,1,3,,38,,,,,,,,,42
,RHEL,,,1,4,,,,,,,,,5
,RHEN,,,,24,,,,,,,,,24
,SENG,,,,,,,,5,,,,,5
,USEN,,,,1,,,,,,,,,1
,WMHS,,,,,,,,,,,1,,1
,Subtotal,34,13,9,"2,096",3,33,,756,19,,853,,"3,816"
G. Bush School of Govt,CAIA,,,,,16,,2,15,,,,,33
,CHLS,,,,,3,,,12,,,,,15
,CNPM,,,,,7,,,9,,,,,16
,CNSA,,,,,9,,,,,,,,9
,INTA,,,,,,2,,20,,,,,22
,PSAA,,,,,,,,16,,,,,16
,Subtotal,,,,,35,2,2,72,,,,,111
