Summer 2012,,White Only (NEW),"American Indian Only
(NEW)",Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)","Hispanic or Latino of any Race
(NEW)",Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total,
"Science                                    BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,185,1,43,14,71,,4,29,3,350,
,,118,1,16,7,32,,2,126,15,317,
,,8,,,1,3,,,,,12,
,,112,,6,4,22,,9,74,2,229,
,,81,1,5,3,17,,5,71,8,191,
,,51,1,8,4,13,,2,31,2,112,
,,555,4,78,33,158,,22,331,30,"1,211",
"Veterinary Medicine
General Studies
Other - Special Populations",CLVM,387,,49,19,87,,10,6,3,561,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARS MEEN SABX SRPH
Subtotal",13,,2,2,1,,1,14,,33,
,,7,1,,,,,,,,8,
,,1,,,,2,,1,6,,10,
,,25,,2,2,4,,,5,,38,
,,15,,4,1,,,,11,,31,
,,448,1,57,24,94,,12,42,3,681,
,,564,5,33,49,169,2,15,11,1,849,
,,564,5,33,49,169,2,15,11,1,849,
,,,,,,1,,,1,2,4,
,,2,,,,,,,,,2,
,,,,,,1,,,,,1,
,,,,,,,,,1,,1,
,,,,,,,,,5,,5,
,,5,,,1,,,,1,,7,
,,7,,,1,2,,,8,2,20,
Total,,10553,54,722,721,2424,14,282,2330,170,17270,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,
