Summer 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Education,SPSY,13,,2,4,9,,1,1,,30
,TCMG,22,,2,,13,,1,,,38
,TCML,16,,2,2,7,,,,,27
,TECR,1,,,,,,,,,1
,USEH,1,,,,,,,,,1
,Subtotal,"1,550",4,60,172,370,2,41,80,8,"2,287"
Engineering,AERL,28,,1,1,9,,2,3,1,45
,AERO,122,,8,4,16,,3,33,6,192
,BIOT,1,,3,,2,,,10,,16
,BMEL,15,,1,,4,,1,,3,24
,BMEN,93,,13,4,16,,4,27,4,161
,CECL,9,,1,1,8,,1,2,,22
,CECN,37,1,6,3,9,,1,52,,109
,CEEL,9,,2,1,2,,,2,,16
,CEEN,24,,3,1,2,,,45,,75
,CHEL,11,,2,2,7,,,,1,23
,CHEN,103,,22,3,31,1,4,84,1,249
,CPSC,65,,7,6,13,,,80,1,172
,CPSL,27,,4,4,6,,1,3,2,47
,CVEL,17,,,2,10,,,,8,37
,CVEN,204,,13,8,46,1,4,125,2,403
,ELEL,37,,9,1,17,,5,5,2,76
,ELEN,83,,23,8,30,,5,188,7,344
,ENGR,,,2,,1,,,,,3
,ENSM,2,,1,1,1,,,1,,6
,ENTC,52,,4,,11,,1,1,,69
,ENTL,21,,2,2,12,,,1,,38
,HLPH,5,,,,,,,,,5
,IDIL,28,,,2,1,,,,,31
,IDIS,87,1,5,4,19,,,2,,118
,INEL,18,,3,2,10,,1,4,,38
,INEN,133,1,14,10,47,,4,77,3,289
