Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Liberal Arts,PSYC,1,4,30,56,,91,,,,11,11,,,102
,RUSS,,,1,,,1,,,,,,,,1
,SOCI,,4,10,27,,41,,3,3,14,14,,,58
,SPAN,,1,6,10,,17,,,,,,,,17
,TCMS,,,2,1,,3,,,,,,,,3
,THAR,,,,1,,1,,,,,,,,1
,USLA,,,,2,,2,,,,,,,,2
,WGST,,,,3,,3,,,,,,,,3
,Subtotal,5,28,139,221,,393,,6,6,54,54,,,453
"Science
Veterinary Medicine
General Studies",APHY,,,,,,,,,,2,2,,,2
,APMS,,1,1,1,,3,,,,,,,,3
,BIOL,1,3,23,28,,55,,1,1,1,1,,,57
,BMCB,,,3,3,,6,,,,,,,,6
,CHEM,2,2,5,10,,19,,1,1,12,12,,,32
,MATH,,1,7,8,,16,1,2,3,,,,,19
,MBIO,,,,2,,2,,,,1,1,,,3
,MSEN,,,,,,,,,,,,,,
,PHYS,,2,1,2,,5,,4,4,6,6,,,15
,STAT,,,,,,,5,7,12,1,1,,,13
,USSC,,,,3,,3,,,,,,,,3
,ZOOL,,1,3,1,,5,,,,,,,,5
,Subtotal,3,10,43,58,,114,6,15,21,23,23,,,158
,BIMS,3,10,13,38,,64,,4,4,2,2,,,70
,BIOT,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,
,VPAT,,,,,,,,1,1,1,1,,,2
,VPHY,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,21,21,21
,VTMI,,,,,,,,1,1,,,,,1
,Subtotal,3,10,13,38,,64,,6,6,3,3,21,21,94
,GEST,95,51,1,1,,148,,,,,,,,148
,TEAM,7,12,2,,,21,,,,,,,,21
,Subtotal,102,63,3,1,,169,,,,,,,,169
