Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,CEEL,,,,,,,,,,,,,,
,CEEN,,,,,,,,,,,,,,
,CHEL,,,,,,,,,,,,,,
,CHEN,,,,3,,3,,1,1,,,,,4
,CPSC,,,,,,,,,,,,,,
,CPSL,,,,1,,1,,,,,,,,1
,CVEL,,,,,,,,,,,,,,
,CVEN,,,,3,,3,,,,1,1,,,4
,ELEL,1,,3,1,,5,,,,,,,,5
,ELEN,,1,,4,,5,,,,,,,,5
,ENGR,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,
,ENTC,,,,1,,1,,,,,,,,1
,ENTL,,,,,,,,,,,,,,
,HLPH,,,,,,,,,,,,,,
,IDIL,,,,,,,,,,,,,,
,IDIS,,,,,,,,,,,,,,
,INEL,,,1,,,1,,,,,,,,1
,INEN,,,3,1,,4,,,,,,,,4
,ITDE,,,,,,,,,,,,,,
,MEEL,1,,,,,1,,,,,,,,1
,MEEN,,,1,,,1,,2,2,,,,,3
,MSEN,,,,,,,,,,1,1,,,1
,NUEL,,,,,,,,,,,,,,
,NUEN,,,,,,,,1,1,,,,,1
,OCEL,,,,,,,,,,,,,,
,OCEN,,,,,,,,,,,,,,
,PETE,,,,,,,,1,1,,,,,1
,PETL,,,2,,,2,,,,,,,,2
,RHEL,,,,,,,,,,,,,,
,RHEN,,,1,1,,2,,,,,,,,2
,SENG,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,2,3,16,18,,39,,7,7,2,2,,,48
