Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Liberal Arts,PSYC,,,,1,,1,,,,,,,,1
,RUSS,,,,,,,,,,,,,,
,SOCI,,,,,,,,,,,,,,
,SPAN,,,,,,,,,,,,,,
,TCMS,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,
,Subtotal,,,,7,,7,,,,,,,,7
"Science
Veterinary Medicine
General Studies",APHY,,,,,,,,,,1,1,,,1
,APMS,,,,,,,,,,,,,,
,BIOL,,,,1,,1,,,,,,,,1
,BMCB,,,,,,,,,,,,,,
,CHEM,,,,,,,,,,1,1,,,1
,MATH,,,,,,,,,,,,,,
,MBIO,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,,,,,
,STAT,,,,,,,1,,1,,,,,1
,USSC,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,
,Subtotal,,,,1,,1,1,,1,2,2,,,4
,BIMS,,,,,,,,1,1,,,,,1
,BIOT,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,,,
,VTMI,,,,,,,,,,,,,,
,Subtotal,,,,,,,,1,1,,,,,1
,GEST,3,2,,,,5,,,,,,,,5
,TEAM,,,,,,,,,,,,,,
,Subtotal,3,2,,,,5,,,,,,,,5
