2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ADEV,,,,,,,,,,,,,,,
,AGBL,,,1,,,1,,,,,,,,1,
,AGBU,,,1,,,1,,1,1,,,,,2,
,AGCJ,,1,1,4,1,7,,,,,,,,7,
,AGEC,,,,1,,1,,1,1,,,,,2,
,AGLS,,,,1,,1,,,,,,,,1,
,AGRO,,,,1,,1,,,,,,,,1,
,AGSC,,,,1,,1,,,,,,,,1,
,AGSM,,,,,,,,,,,,,,,
,ALEC,,,,,,,,1,1,,,,,1,
,ALED,,1,2,,,3,,,,,,,,3,
,ANBR,,,,,,,,,,,,,,,
,ANSC,,2,1,2,,5,,1,1,,,,,6,
,BAEN,,2,1,1,,4,,,,,,,,4,
,BESC,,,,1,,1,,,,,,,,1,
,BICH,,,,2,,2,,1,1,,,,,3,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,1,,1,,,,,,,,1,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,,,,,,,,,,,,
,FIVS,,,,,,,,,,,,,,,
,FORS,,,,,,,,,,,,,,,
,FSTC,,,1,3,,4,,,,,,,,4,
,GENE,,1,,,,1,,,,,,,,1,
,HORT,,,1,,,1,,,,,,,,1,
,MEPS,,,,,,,,,,,,,,,
,NRDV,,,,,,,,1,1,,,,,1,
,NUSC,,,3,2,,5,,,,,,,,5,
,NUTR,,,,,,,,,,,,,,,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,,,,,,,,
,POSC,,,,1,,1,,,,,,,,1,
,PREP,,,,,,,,,,,,,,,
