International,,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ADEV,,,,,,,,,,,,,,,
,AGBL,,1,,,,1,,,,,,,,1,
,AGBU,,,,,,,,9,9,,,,,9,
,AGCJ,,,1,2,,3,,,,,,,,3,
,AGEC,,,1,1,,2,,6,6,20,20,,,28,
,AGLS,,,,,,,,,,,,,,,
,AGRO,,,,,,,,1,1,2,2,,,3,
,AGSC,,,,,,,,,,,,,,,
,AGSM,,1,1,1,,3,,,,,,,,3,
,ALEC,,,,,,,,2,2,1,1,,,3,
,ALED,,,,1,,1,,,,,,,,1,
,ANBR,,,,,,,,,,,,,,,
,ANSC,,,,,,,,2,2,1,1,,,3,
,BAEN,,,,,,,,6,6,18,18,,,24,
,BESC,,,,2,,2,,,,,,,,2,
,BICH,,,2,1,,3,,13,13,31,31,,,47,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,,,,,1,1,8,8,,,9,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,,,,,,,,,,,,
,FIVS,,,,,,,,,,,,,,,
,FORS,,,,,,,,3,3,3,3,,,6,
,FSTC,,1,,,,1,,6,6,6,6,,,13,
,GENE,,,1,1,,2,,2,2,4,4,,,8,
,HORT,,,,,,,,2,2,9,9,,,11,
,MEPS,,,,,,,,2,2,8,8,,,10,
,NRDV,,,,,,,,,,,,,,,
,NUSC,,,,2,,2,,,,,,,,2,
,NUTR,,,,,,,,1,1,7,7,,,8,
,PLBR,,,,,,,,1,1,16,16,,,17,
,PLPA,,,,,,,,3,3,8,8,,,11,
,POSC,,,,,,,,1,1,1,1,,,2,
,PREP,,,,,,,,,,3,3,,,3,
