Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Agriculture,AGEC,216,35,22,,273
,ALEC,509,54,35,,598
,ANSC,256,41,29,,326
,BAEN,111,22,26,,159
,BCBP,89,32,89,,210
,CLAG,46,1,,,47
,ENTO,63,13,29,,105
,ESSM,63,30,26,,119
,HRSC,63,13,17,,93
,NFSC,216,23,17,,256
,PLPM,116,7,21,,144
,POSC,43,20,9,,72
,RPTS,230,6,12,,248
,SCSC,32,38,59,,129
,WFSC,85,38,30,,153
,Subtotal,"2,138",373,421,,"2,932"
Architecture,ARCH,81,36,20,,137
,CLAR,28,,,,28
,COSC,291,23,,,314
,LAUP,43,41,8,,92
,VIZA,57,39,,,96
,Subtotal,500,139,28,,667
Business Admin,ACCT,375,106,17,,498
,CLBA,339,34,,,373
,FINC,199,120,9,,328
