Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Business Admin,INFO,132,123,7,,262
,MGMT,111,19,17,,147
,MKTG,146,30,9,,185
,Subtotal,"1,302",432,59,,"1,793"
Education,CLED,2,,,,2
,EAHR,238,88,150,,476
,EPSY,82,53,101,,236
,HLKN,769,95,58,,922
,TLAC,358,179,114,,651
,Subtotal,"1,449",415,423,,"2,287"
Engineering,AERO,137,42,59,,238
,BMEN,107,37,46,,190
,CHEN,176,54,74,,304
,CLEN,1,,4,,5
,CSCE,186,82,82,,350
,CVEN,287,104,125,,516
,ECEN,265,99,150,,514
,ETID,256,,,,256
,ISEN,238,65,30,,333
,MEEN,275,91,179,,545
,NUEN,116,57,34,,207
,PETE,108,161,89,,358
,Subtotal,"2,152",792,872,,"3,816"
G. Bush School of Govt,BUSH,,111,,,111
,Subtotal,,111,,,111
