Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                                     BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,2,,,1,,3,,,,,,,,3,
,,1,1,5,6,,13,,,,2,2,,,15,
,,,,,,,,,,,,,,,,
,,1,,,1,,2,,,,,,,,2,
,,1,,3,2,,6,,1,1,1,1,,,8,
,,,,,,,,1,1,2,,,,,2,
,,5,1,8,10,,24,1,2,3,3,3,,,30,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,,,1,,,1,,,,,,2,2,3,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARS MEEN SABX SRPH
Subtotal Total",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,1,,,1,,,,,,2,2,3,
,,1,,,,,1,,,,,,,,1,
,,1,,,,,1,,,,,,,,1,
,,,,,,,,2,,2,,,,,2,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,2,,2,,,,,2,
,,14,17,36,52,,119,4,21,25,24,24,2,2,170,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,
