Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                                     BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,1,4,29,34,,68,,1,1,2,2,,,71,
,,2,2,5,10,,19,,1,1,12,12,,,32,
,,,,,3,,3,,,,,,,,3,
,,,2,8,9,,19,1,2,3,,,,,22,
,,,2,1,2,,5,,4,4,8,8,,,17,
,,,,,,,,5,7,12,1,1,,,13,
,,3,10,43,58,,114,6,15,21,23,23,,,158,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,3,10,13,38,,64,,1,1,1,1,21,21,87,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARS MEEN SABX SRPH
Subtotal Total",,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,3,3,1,1,,,4,
,,,,,,,,,,,,,,,,
,,3,10,13,38,,64,,6,6,3,3,21,21,94,
,,102,63,3,1,,169,,,,,,,,169,
,,102,63,3,1,,169,,,,,,,,169,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,1,,1,,,,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,1,,1,1,,1,,,,,2,
,,158,223,535,996,10,"1,922",17,235,252,229,229,21,21,"2,424",
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,
