Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,CEEL,,1,1,,,2,,,,,,,,2
,CEEN,,,1,2,,3,,28,28,14,14,,,45
,CHEL,,,,,,,,,,,,,,
,CHEN,,1,2,11,,14,,21,21,49,49,,,84
,CPSC,,,,3,,3,,41,41,36,36,,,80
,CPSL,1,,2,,,3,,,,,,,,3
,CVEL,,,,,,,,,,,,,,
,CVEN,,,2,5,,7,,32,32,86,86,,,125
,ELEL,1,,3,1,,5,,,,,,,,5
,ELEN,,,5,17,,22,,55,55,111,111,,,188
,ENGR,,,,,,,,,,,,,,
,ENSM,,,,,,,,1,1,,,,,1
,ENTC,,,,1,,1,,,,,,,,1
,ENTL,,,1,,,1,,,,,,,,1
,HLPH,,,,,,,,,,,,,,
,IDIL,,,,,,,,,,,,,,
,IDIS,,,,2,,2,,,,,,,,2
,INEL,1,1,1,1,,4,,,,,,,,4
,INEN,,2,4,8,,14,,40,40,23,23,,,77
,ITDE,,,,,,,,,,,,,,
,MEEL,,,,1,,1,,,,,,,,1
,MEEN,,,1,5,,6,,18,18,107,107,,,131
,MSEN,,,,,,,,9,9,42,42,,,51
,NUEL,1,,,,,1,,,,,,,,1
,NUEN,,2,1,3,,6,,12,12,16,16,,,34
,OCEL,,,,,,,,,,,,,,
,OCEN,,,,,1,1,,15,15,15,15,,,31
,PETE,,,2,10,,12,,80,80,81,81,,,173
,PETL,3,,5,1,,9,,,,,,,,9
,RHEL,,,,,,,,,,,,,,
,RHEN,,,1,,,1,,,,,,,,1
,SENG,,,,,,,,5,5,,,,,5
,USEN,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,9,8,34,79,1,131,,397,397,654,654,,,"1,182"
