Texas A&M University,,,,,,,,,,,,,,,,,
Data and Research Services,,,,,,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Summer 2012,,,,,,,,,,,,,,,,,
Student Head Count by Level (College Station Campus) Change by Level from Previous Summer,,,,,,,,,,,,,,,,,
Enrollment Profile – Summer 2012,,,,,,,,,,,,,,,,,
Official 12th Class Day Data -- Not-Certified,,,,,,,,,,,,,,,,,
,,Undergraduate,,,Masters,,,PhD,,,Professional,,,Total,,,
,,2012,2011,% Chg,2012,2011,% Chg,2012,2011,% Chg,2012,2011,% Chg,2012,2011,% Chg,
,9-11 SCH,"1,530            1,595",,-4.1%,268                194,,38.1%,53                  66,,-19.7%,1              1,,,"1,852            1,856",,-0.2%,
,12-14 SCH,878              950,,-7.6%,104                 113,,-8.0%,13                   13,,0.0%,1,,,"996             1,076",,-7.4%,
,15-17 SCH,60                 65,,-7.7%,2                    7,,-71.4%,1,,-100.0%,,,,62                  73,,-15.1%,
,>17 SCH,9                    5,,80.0%,1,,,,,,1,,-100.0%,10                    7,,42.9%,
Ft/Pt: TAMU Status,Less Than Half Time,"3,230           3,280",,-1.5%,373                354,,5.4%,403                317,,27.1%,,,,"4,006             3,951",,1.4%,
,Half-Time,"5,466           5,543",,-1.4%,785                744,,5.5%,292                293,,-0.3%,33           16,,106.3%,"6,576            6,596",,-0.3%,
,Full-Time,"2,949           2,902",,1.6%,"1,609            1,586",,1.5%,"2,000            2,102",,-4.9%,130         129,,0.8%,"6,688             6,719",,-0.5%,
Top 10% Texas High School,No,"7,698            7,873",,-2.2%,"2,697            2,602",,3.7%,"2,592            2,582",,0.4%,160         101,,58.4%,"13,147           13,157",,-0.1%,
,Yes,"3,947           3,852",,2.5%,70                  82,,-14.6%,103                130,,-20.8%,3           44,,-93.2%,"4,123            4,109",,0.3%,
First Generation,No,"7,957           8,013",,-0.7%,"1,341             1,534",,-12.6%,"1,434            1,480",,-3.1%,7           62,,-88.7%,"10,739          11,090",,-3.2%,
,Unknown,552               625,,-11.7%,876                501,,74.9%,426               382,,11.5%,155           68,,127.9%,"2,009             1,576",,27.5%,
,Yes,"3,136           3,087",,1.6%,550               649,,-15.3%,835               850,,-1.8%,1            15,,-93.3%,"4,522           4,600",,-1.7%,
