White Only (NEW),,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ADEV,,,,,,,1,7,8,,,,,8,
,AGBL,,5,14,2,,21,,,,,,,,21,
,AGBU,,,17,43,,60,,9,9,,,,,69,
,AGCJ,1,12,47,64,,124,,,,,,,,124,
,AGEC,,1,27,74,2,104,,8,8,2,2,,,114,
,AGLS,1,5,17,9,,32,,,,,,,,32,
,AGRO,,1,4,17,,22,1,12,13,6,6,,,41,
,AGSC,,3,16,22,1,42,,,,,,,,42,
,AGSM,1,2,11,27,,41,,2,2,,,,,43,
,ALEC,,,,,,,1,36,37,28,28,,,65,
,ALED,,13,61,116,1,191,,,,,,,,191,
,ANBR,,,,,,,,1,1,2,2,,,3,
,ANSC,,30,59,120,3,212,,26,26,14,14,,,252,
,BAEN,1,2,11,17,,31,,10,10,2,2,,,43,
,BESC,,2,13,31,,46,,,,,,,,46,
,BICH,2,2,6,13,,23,,8,8,34,34,,,65,
,CDEV,,,,12,1,13,,,,,,,,13,
,DASC,,,,,,,,1,1,,,,,1,
,ECOR,,1,2,3,,6,,,,,,,,6,
,ENST,,1,4,6,,11,,,,,,,,11,
,ENTO,,,3,18,,21,,6,6,16,16,,,43,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,2,,2,,,,,,,,2,
,FIVS,,,2,10,1,13,,,,,,,,13,
,FORS,,,1,3,,4,,1,1,3,3,,,8,
,FSTC,,1,7,20,1,29,,9,9,4,4,,,42,
,GENE,,1,3,7,1,12,,8,8,14,14,,,34,
,HORT,,3,22,32,1,58,,8,8,2,2,,,68,
,MEPS,,,,,,,,1,1,3,3,,,4,
,NRDV,,,,,,,1,13,14,,,,,14,
,NUSC,1,4,39,71,3,118,,,,,,,,118,
,NUTR,,,,,,,,11,11,5,5,,,16,
,PLBR,,,,,,,,12,12,12,12,,,24,
,PLPA,,,,,,,,2,2,4,4,,,6,
,POSC,,,12,22,,34,,9,9,2,2,,,45,
,PREP,,,,,,,,1,1,1,1,,,2,
