Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,2,1,,,,3,,7,7,27,27,,,37
,BMEN,,,,1,,1,,7,7,21,21,,,29
,CHEN,,1,2,11,,14,,36,36,57,57,,,107
,CLEN,,,,,,,,,,,,,,
,CSCE,1,,4,10,,15,,57,57,65,65,,,137
,CVEN,,,2,5,1,8,,47,47,101,101,,,156
,ECEN,1,1,10,20,,32,,83,83,128,128,,,243
,ETID,,,1,3,,4,,,,,,,,4
,ISEN,1,3,5,9,,18,,41,41,23,23,,,82
,MEEN,,,1,6,,7,,26,26,134,134,,,167
,NUEN,1,2,2,3,,8,,13,13,17,17,,,38
,PETE,3,,7,11,,21,,80,80,81,81,,,182
,Subtotal,9,8,34,79,1,131,,397,397,654,654,,,"1,182"
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,,3,3,,,,,3
,Subtotal,,,,,,,,3,3,,,,,3
,ATMO,,,,,,,,2,2,14,14,,,16
,CLGE,,,,,,,,,,,,,,
,GEOG,,1,,,,1,,2,2,7,7,,,10
,GEPL,,2,1,6,,9,,8,8,17,17,,,34
,OCNG,,,,,,,,5,5,18,18,,,23
,Subtotal,,3,1,6,,10,,17,17,56,56,,,83
,ANTH,,,,1,,1,,1,1,,,,,2
,CLLA,,1,1,1,,3,,,,,,,,3
,COMM,,,,1,,1,,,,4,4,,,5
,ECON,,1,1,3,,5,,44,44,15,15,,,64
,ENGL,,,,,,,,1,1,5,5,,,6
,EURO,,,,1,,1,,,,,,,,1
,HISP,,,,,,,,,,4,4,,,4
,HIST,,,1,1,,2,,2,2,,,,,4
,PHUM,,,,,,,,,,,,,,
,POLS,,,1,,,1,,1,1,3,3,,,5
,PRFM,,,,,,,,,,,,,,
,PSYC,,1,1,1,,3,,3,3,10,10,,,16
,SOCI,,1,1,,,2,,,,3,3,,,5
,Subtotal,,4,6,9,,19,,52,52,44,44,,,115
