Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                                     BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,,1,,3,,4,,,,,,,,4,
,,,,1,,,1,,,,1,1,,,2,
,,,,,,,,,,,,,,,,
,,,2,2,4,,8,,,,1,1,,,9,
,,,,,,,,,2,2,3,3,,,5,
,,,,,,,,1,,1,1,1,,,2,
,,,3,3,7,,13,1,2,3,6,6,,,22,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,1,,1,6,,8,,,,,,2,2,10,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARS MEEN SABX SRPH
Subtotal Total",,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,,1,6,,8,,2,2,,,2,2,12,
,,11,3,1,,,15,,,,,,,,15,
,,11,3,1,,,15,,,,,,,,15,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,18,25,73,111,1,228,3,32,35,17,17,2,2,282,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,
