Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,CEEL,,,1,1,,2,,,,,,,,2
,CEEN,,,1,1,,2,,,,1,1,,,3
,CHEL,,1,1,,,2,,,,,,,,2
,CHEN,,3,3,15,,21,,1,1,,,,,22
,CPSC,,1,2,3,,6,,1,1,,,,,7
,CPSL,1,1,1,1,,4,,,,,,,,4
,CVEL,,,,,,,,,,,,,,
,CVEN,,,3,3,,6,,3,3,4,4,,,13
,ELEL,2,1,2,4,,9,,,,,,,,9
,ELEN,,,4,12,,16,,3,3,4,4,,,23
,ENGR,,,,,,,,,,2,2,,,2
,ENSM,,,,,,,,1,1,,,,,1
,ENTC,,,1,3,,4,,,,,,,,4
,ENTL,,,,2,,2,,,,,,,,2
,HLPH,,,,,,,,,,,,,,
,IDIL,,,,,,,,,,,,,,
,IDIS,,,1,4,,5,,,,,,,,5
,INEL,,,2,1,,3,,,,,,,,3
,INEN,,,1,8,1,10,,2,2,2,2,,,14
,ITDE,,,,,,,,,,1,1,,,1
,MEEL,,,,,,,,,,,,,,
,MEEN,,,4,10,,14,,4,4,3,3,,,21
,MSEN,,,,,,,,2,2,1,1,,,3
,NUEL,1,1,,,,2,,,,,,,,2
,NUEN,,,2,,,2,,1,1,3,3,,,6
,OCEL,,,,,,,,,,,,,,
,OCEN,,,,,,,,1,1,,,,,1
,PETE,,,5,4,,9,,7,7,1,1,,,17
,PETL,,1,1,1,,3,,,,,,,,3
,RHEL,,,,,,,,,,,,,,
,RHEN,,,,1,,1,,,,,,,,1
,SENG,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,5,11,41,88,1,146,,33,33,25,25,,,204
