Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,PSSC,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,
,RLEM,,,,,,,,2,2,5,5,,,7
,RPTS,,,,1,,1,,1,1,5,5,,,7
,SOSC,,,,,,,,1,1,3,3,,,4
,SPSA,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,1,1,,,1
,USAL,,,,,,,,,,,,,,
,WFSC,,,,,,,,2,2,6,6,,,8
,WISC,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,3,3,,,3
,Subtotal,,3,6,12,,21,,67,67,169,169,,,257
Architecture,ARCH,,,,,,,,9,9,13,13,,,22
,COMG,,,,,,,,10,10,,,,,10
,COSC,,,,1,,1,,,,,,,,1
,COSL,,,2,,,2,,,,,,,,2
,ENDL,,1,,,,1,,,,,,,,1
,ENDS,,,,,,,,,,,,,,
,LAND,,,,,,,,16,16,,,,,16
,LANL,,,,,,,,,,,,,,
,LDEV,,,,,,,,3,3,,,,,3
,URPL,,,,,,,,3,3,,,,,3
,URSC,,1,,,,1,,,,5,5,,,6
,USAR,,,,,,,,,,,,,,
,VISL,,,,,,,,,,,,,,
,VIST,,,,,,,,11,11,,,,,11
,Subtotal,,2,2,1,,5,,52,52,18,18,,,75
Business Admin,ACCT,,,,7,,7,,8,8,,,,,15
,AGBU,,,,,,,,,,,,,,
,BHNR,,,,,,,,,,,,,,
,BUAD,,,,,,,,16,16,,,,,16
,FINC,,,1,1,,2,,2,2,6,6,,,10
,INFO,,,,3,,3,,,,7,7,,,10
,MGMT,,,,,,,,1,1,5,5,,,6
,MISY,,,,,,,,73,73,,,,,73
,MKTG,,,,,,,,6,6,6,6,,,12
