Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                                     BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,6,16,42,88,4,156,,5,5,24,24,,,185,
,,1,3,9,19,1,33,,18,18,67,67,,,118,
,,,,2,6,,8,,,,,,,,8,
,,2,6,21,31,,60,1,29,30,22,22,,,112,
,,2,5,9,8,1,25,,18,18,38,38,,,81,
,,,,,,,,11,35,46,5,5,,,51,
,,11,30,83,152,6,282,12,105,117,156,156,,,555,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,8,23,55,156,,242,,11,11,1,1,133,133,387,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARS MEEN SABX SRPH
Subtotal Total",,,,,,,,6,6,7,7,,,13,
,,,,,,,,1,5,6,1,1,,,7,
,,,,,,,,,1,1,,,,,1,
,,,,,,,,,9,9,16,16,,,25,
,,,,,,,,,7,7,8,8,,,15,
,,8,23,55,156,,242,1,39,40,33,33,133,133,448,
,,320,210,34,,,564,,,,,,,,564,
,,320,210,34,,,564,,,,,,,,564,
,,,,,,,,,,,,,,,,
,,,2,,,,2,,,,,,,,2,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,5,,5,,,,,5,
,,,2,,,,2,5,,5,,,,,7,
,,439,823,"2,434","4,309",48,"8,053",93,"1,364","1,457",910,910,133,133,"10,553",
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,
