Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Business Admin,"MLER USBU
Subtotal",,,,,,,,31,31,,,,,31
,,,,9,36,,45,,,,,,,,45
,,7,79,364,535,3,988,,263,263,23,23,,,"1,274"
"Education
Engineering",ATTR,,,,,,,,8,8,,,,,8
,BIED,,,,,,,,2,2,,,,,2
,CPSY,,,,,,,,4,4,10,10,,,14
,EDAD,,,,,,,1,21,22,52,52,,,74
,EDCI,,,,,,,5,127,132,61,61,,,193
,EDHL,3,13,72,37,,125,,,,,,,,125
,EDIS,2,23,34,15,,74,,,,,,,,74
,EDKI,4,18,47,25,1,95,,,,,,,,95
,EDSM,4,6,38,13,1,62,,,,,,,,62
,EDTC,,,,,,,,2,2,,,,,2
,EHRD,,,,,,,,26,26,19,19,,,45
,EPSY,,,,,,,2,9,11,20,20,,,31
,HEED,,,,,,,,14,14,4,4,,,18
,HLTH,,,2,68,1,71,,,,,,,,71
,HRDL,,4,27,10,,41,,,,,,,,41
,HRDV,,,6,81,,87,,,,,,,,87
,INST,1,6,60,214,,281,,,,,,,,281
,KINE,,,3,123,2,128,1,15,16,21,21,,,165
,SPED,,,,,,,,8,8,,,,,8
,SPMT,,,5,74,1,80,,21,21,,,,,101
,SPSY,,,,,,,,1,1,12,12,,,13
,TCMG,,,1,21,,22,,,,,,,,22
,TCML,,,10,6,,16,,,,,,,,16
,TECR,,,,,1,1,,,,,,,,1
,USEH,,,1,,,1,,,,,,,,1
,Subtotal,14,70,306,687,7,"1,084",9,258,267,199,199,,,"1,550"
,AERL,3,14,9,2,,28,,,,,,,,28
,AERO,,,19,45,1,65,,31,31,26,26,,,122
,BIOT,,,,,,,,1,1,,,,,1
,BMEL,2,7,5,1,,15,,,,,,,,15
,BMEN,,2,15,38,,55,,23,23,15,15,,,93
,CECL,2,3,4,,,9,,,,,,,,9
,CECN,,,15,18,,33,,3,3,1,1,,,37
