Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,PSSC,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,
,RLEM,,,1,1,,2,,,,,,,,2
,RPTS,,1,3,,,4,,,,,,,,4
,SOSC,,,,,,,,,,,,,,
,SPSA,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,
,USAL,,,1,,,1,,,,,,,,1
,WFSC,,,1,,,1,,,,,,,,1
,WISC,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,,8,18,22,1,49,,6,6,,,,,55
Architecture,ARCH,,,,,,,,,,,,,,
,COMG,,,,,,,,,,,,,,
,COSC,,,,3,,3,,,,,,,,3
,COSL,,,1,1,,2,,,,,,,,2
,ENDL,,,,,,,,,,,,,,
,ENDS,,,,1,,1,,,,,,,,1
,LAND,,,,2,,2,,,,,,,,2
,LANL,,,,,,,,,,,,,,
,LDEV,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,
,URSC,,,,,,,,,,,,,,
,USAR,,,,1,,1,,,,,,,,1
,VISL,,,,,,,,,,,,,,
,VIST,,,,1,,1,,,,,,,,1
,Subtotal,,,1,9,,10,,,,,,,,10
Business Admin,ACCT,,,2,3,,5,,1,1,,,,,6
,AGBU,,,,,,,,,,,,,,
,BHNR,,,,,,,,,,,,,,
,BUAD,,1,3,,,4,,,,,,,,4
,FINC,,,1,,,1,,1,1,,,,,2
,INFO,,,,1,,1,,,,,,,,1
,MGMT,,,,1,,1,,,,,,,,1
,MISY,,,,,,,,,,,,,,
,MKTG,,,3,4,,7,,,,,,,,7
