Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Engineering,AERL,45,,,,45
,AERO,92,42,58,,192
,BIOT,,16,,,16
,BMEL,24,,,,24
,BMEN,83,37,41,,161
,CECL,22,,,,22
,CECN,57,21,31,,109
,CEEL,16,,,,16
,CEEN,30,29,16,,75
,CHEL,23,,,,23
,CHEN,153,32,64,,249
,CPSC,60,61,51,,172
,CPSL,47,,,,47
,CVEL,37,,,,37
,CVEN,211,83,109,,403
,ELEL,76,,,,76
,ELEN,143,70,131,,344
,ENGR,,,3,,3
,ENSM,,6,,,6
,ENTC,69,,,,69
,ENTL,38,,,,38
,HLPH,,5,,,5
,IDIL,31,,,,31
,IDIS,118,,,,118
