Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Geosciences,ATMO,25,23,24,,72
,CLGE,39,,,,39
,GEOG,64,14,15,,93
,GEPL,116,31,31,,178
,OCNG,,26,32,,58
,Subtotal,244,94,102,,440
Liberal Arts,ANTH,65,5,11,,81
,CLLA,247,,,,247
,COMM,237,2,22,,261
,ECON,235,50,21,,306
,ENGL,189,1,32,,222
,EURO,19,,,,19
,HISP,30,,17,,47
,HIST,196,2,13,,211
,PHUM,27,2,9,,38
,POLS,198,11,24,,233
,PRFM,21,,,,21
,PSYC,460,20,65,,545
,SOCI,183,11,38,,232
,Subtotal,"2,107",104,252,,"2,463"
