Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,,,,,,,,,,,,,,
,BMEN,,,,,,,,,,,,,,
,CHEN,,,,,,,,,,,,,,
,CLEN,,,,,,,,,,,,,,
,CSCE,,,,1,,1,,,,,,,,1
,CVEN,,,,1,,1,,,,,,,,1
,ECEN,,,,,,,,,,,,,,
,ETID,,,,1,,1,,,,,,,,1
,ISEN,,,,1,,1,,,,,,,,1
,MEEN,,,1,1,,2,,,,1,1,,,3
,NUEN,,,,1,,1,,,,,,,,1
,PETE,,,,,,,,1,1,,,,,1
,Subtotal,,,1,6,,7,,1,1,1,1,,,9
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,,1,1,,,,,1
,Subtotal,,,,,,,,1,1,,,,,1
,ATMO,,,,,,,,,,,,,,
,CLGE,,,,1,,1,,,,,,,,1
,GEOG,,,1,1,,2,,,,,,,,2
,GEPL,,,,,,,1,,1,,,,,1
,OCNG,,,,,,,,1,1,,,,,1
,Subtotal,,,1,2,,3,1,1,2,,,,,5
,ANTH,,,,,,,,,,,,,,
,CLLA,,,,1,,1,,,,,,,,1
,COMM,,,,1,,1,,,,,,,,1
,ECON,,,,1,,1,,,,,,,,1
,ENGL,,,,2,,2,,,,,,,,2
,EURO,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,,,,,,,,,,,,,,
,PHUM,,,,1,,1,,,,,,,,1
,POLS,,,,,,,,,,,,,,
,PRFM,,,,,,,,,,,,,,
,PSYC,,,,1,,1,,,,,,,,1
,SOCI,,,,,,,,,,,,,,
,Subtotal,,,,7,,7,,,,,,,,7
