Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Liberal Arts,PSYC,,1,1,1,,3,,2,2,8,8,,,13
,RUSS,,,,,,,,,,,,,,
,SOCI,,1,1,,,2,,,,3,3,,,5
,SPAN,,,,,,,,,,,,,,
,TCMS,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,
,Subtotal,,4,6,9,,19,,52,52,44,44,,,115
"Science
Veterinary Medicine
General Studies",APHY,,,,,,,,,,1,1,,,1
,APMS,,,,,,,,,,,,,,
,BIOL,,1,,,,1,,4,4,18,18,,,23
,BMCB,,,,1,,1,,,,,,,,1
,CHEM,,,,6,,6,,21,21,99,99,,,126
,MATH,,,,,,,,16,16,58,58,,,74
,MBIO,,,1,,,1,,1,1,3,3,,,5
,MSEN,,,,,,,,1,1,1,1,,,2
,PHYS,,,,2,,2,,15,15,51,51,,,68
,STAT,,,,,,,,5,5,26,26,,,31
,USSC,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,
,Subtotal,,1,1,9,,11,,63,63,257,257,,,331
,BIMS,,,,1,,1,,6,6,22,22,,,29
,BIOT,,,,,,,,1,1,,,,,1
,GENE,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,
,STJR,,,,,,,,2,2,,,,,2
,TOXI,,,,,,,,,,6,6,,,6
,VPAT,,,,,,,,,,1,1,,,1
,VPHY,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,,,
,VTMI,,,,,,,,,,3,3,,,3
,Subtotal,,,,1,,1,,9,9,32,32,,,42
,GEST,7,4,,,,11,,,,,,,,11
,TEAM,,,,,,,,,,,,,,
,Subtotal,7,4,,,,11,,,,,,,,11
