Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,PSSC,,,,,,,,,,,,,,
,RENR,,,3,3,,6,,,,,,,,6
,RLEM,,1,,2,,3,,1,1,6,6,,,10
,RPTS,,2,4,14,1,21,,,,,,,,21
,SOSC,,,,,,,,,,1,1,,,1
,SPSA,,,,2,,2,,,,,,,,2
,TOXI,,,,,,,,,,,,,,
,USAL,,,2,2,,4,,,,,,,,4
,WFSC,1,2,2,17,,22,,6,6,10,10,,,38
,WISC,,,,,,,,1,1,,,,,1
,WMHS,,,,,,,,,,,,,,
,Subtotal,9,24,78,183,4,298,1,37,38,43,43,,,379
Architecture,ARCH,,,,,,,,6,6,1,1,,,7
,COMG,,,,,,,1,2,3,,,,,3
,COSC,,,5,24,,29,,,,,,,,29
,COSL,,5,5,,1,11,,,,,,,,11
,ENDL,2,7,5,1,,15,,,,,,,,15
,ENDS,,,,6,,6,,,,,,,,6
,LAND,,,,2,,2,,,,,,,,2
,LANL,,,1,,,1,,,,,,,,1
,LDEV,,,,,,,,,,,,,,
,URPL,,,,,,,,1,1,,,,,1
,URSC,,1,2,2,,5,,,,,,,,5
,USAR,,,1,5,,6,,,,,,,,6
,VISL,,3,1,,,4,,,,,,,,4
,VIST,,,1,3,1,5,,2,2,,,,,7
,Subtotal,2,16,21,43,2,84,1,11,12,1,1,,,97
Business Admin,ACCT,,1,15,27,,43,,6,6,,,,,49
,AGBU,,,,,,,,,,,,,,
,BHNR,,,2,2,,4,,,,,,,,4
,BUAD,1,16,13,1,,31,,,,,,,,31
,FINC,,,10,15,,25,,7,7,1,1,,,33
,INFO,,1,8,13,,22,,,,,,,,22
,MGMT,,,10,10,,20,,1,1,,,,,21
,MISY,,,,,,,,3,3,,,,,3
,MKTG,,,6,6,,12,,3,3,,,,,15
