Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,PSSC,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,
,RLEM,,,,,,,,,,1,1,,,1
,RPTS,,,,3,,3,,,,1,1,,,4
,SOSC,,,,,,,,,,1,1,,,1
,SPSA,,,,1,,1,,,,,,,,1
,TOXI,,,,,,,,,,,,,,
,USAL,,,,1,,1,,,,,,,,1
,WFSC,,,,,,,,,,,,,,
,WISC,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,3,1,10,41,3,58,,4,4,7,7,,,69
Architecture,ARCH,,,,,,,,,,,,,,
,COMG,,,,,,,,,,,,,,
,COSC,,,,1,,1,,,,,,,,1
,COSL,,,1,,,1,,,,,,,,1
,ENDL,,1,1,,,2,,,,,,,,2
,ENDS,,,,2,,2,,,,,,,,2
,LAND,,,,,,,,,,,,,,
,LANL,,,,,,,,,,,,,,
,LDEV,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,
,URSC,,,,,,,,,,,,,,
,USAR,,,,,,,,,,,,,,
,VISL,,,1,,,1,,,,,,,,1
,VIST,,,1,,,1,,4,4,,,,,5
,Subtotal,,1,4,3,,8,,4,4,,,,,12
Business Admin,ACCT,,,7,13,,20,,3,3,2,2,,,25
,AGBU,,,,,,,,,,,,,,
,BHNR,,,,2,,2,,,,,,,,2
,BUAD,,8,8,,,16,,6,6,,,,,22
,FINC,,,6,5,,11,,2,2,1,1,,,14
,INFO,,,3,4,,7,,,,,,,,7
,MGMT,,,1,4,,5,,3,3,2,2,,,10
,MISY,,,,,,,,4,4,,,,,4
,MKTG,,,3,1,,4,,1,1,,,,,5
