Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,CEEL,1,4,1,3,,9,,,,,,,,9
,CEEN,,,8,14,,22,,1,1,1,1,,,24
,CHEL,1,5,4,1,,11,,,,,,,,11
,CHEN,,,15,70,,85,1,8,9,9,9,,,103
,CPSC,,,10,27,,37,1,14,15,13,13,,,65
,CPSL,4,9,9,5,,27,,,,,,,,27
,CVEL,4,10,2,1,,17,,,,,,,,17
,CVEN,,5,44,99,,148,1,37,38,18,18,,,204
,ELEL,4,12,13,6,2,37,,,,,,,,37
,ELEN,1,2,24,38,2,67,,7,7,9,9,,,83
,ENGR,,,,,,,,,,,,,,
,ENSM,,,,,,,,2,2,,,,,2
,ENTC,,1,12,39,,52,,,,,,,,52
,ENTL,1,4,12,4,,21,,,,,,,,21
,HLPH,,,,,,,,5,5,,,,,5
,IDIL,,3,15,9,1,28,,,,,,,,28
,IDIS,,1,25,61,,87,,,,,,,,87
,INEL,2,7,9,,,18,,,,,,,,18
,INEN,,4,32,83,,119,,12,12,2,2,,,133
,ITDE,,,,,,,,,,,,,,
,MEEL,5,5,2,2,1,15,,,,,,,,15
,MEEN,,2,55,115,1,173,,44,44,26,26,,,243
,MSEN,,,,,,,,1,1,13,13,,,14
,NUEL,1,5,3,1,,10,,,,,,,,10
,NUEN,,1,21,27,,49,,31,31,13,13,,,93
,OCEL,1,2,1,,,4,,,,,,,,4
,OCEN,,1,7,17,,25,,5,5,,,,,30
,PETE,,,22,14,,36,2,44,46,3,3,,,85
,PETL,4,5,10,2,,21,,,,,,,,21
,RHEL,1,1,2,,,4,,,,,,,,4
,RHEN,,,3,10,,13,,,,,,,,13
,SENG,,,,,,,,,,,,,,
,USEN,,,,1,,1,,,,,,,,1
,WMHS,,,,,,,,,,1,1,,,1
,Subtotal,37,115,428,753,8,"1,341",5,269,274,150,150,,,"1,765"
