Country,Undergraduate,Masters,PhD,Professional,Total Students,
Philippines,,1,11,,12,
Portugal,,1,,,1,
Qatar,2,4,2,,8,
Romania,,,2,,2,
Russia,1,2,7,,10,
Rwanda,,,1,,1,
Saudi Arabia,20,7,5,,32,
Serbia,,,1,,1,
Sierra Leone,,1,,,1,
Singapore,1,3,5,,9,
Slovakia,,,1,,1,
South Africa,2,,2,,4,
Spain,1,,,,1,
Sri Lanka (Ceylon),1,,7,,8,
Sweden,1,,,,1,
Syria,2,,,,2,
Taiwan,1,9,92,,102,
Tanzania,,,1,,1,
Thailand,1,14,13,,28,
Trinidad & Tobago,,1,1,,2,
Turkey,,26,44,,70,
Turkmenistan,1,,,,1,
Uganda,,1,1,,2,
Ukraine,,,3,,3,
United Arab Emirates,11,2,3,,16,
United Kingdom,3,,2,,5,
United States,"11,404","1,969","1,383",163,"14,919",
Uruguay,,1,,,1,
Uzbekistan,,,1,,1,
Venezuela,4,11,5,,20,
Viet Nam Socialist Republi,5,6,9,,20,
Zimbabwe (Rhodesia),,,2,,2,
Page 155,,,,,,
