Country,Undergraduate,Masters,PhD,Professional,Total Students,
Albania,,,1,,1,
Angola,2,1,,,3,
Antigua and Barbuda,1,,,,1,
Argentina,,1,3,,4,
Australia,2,,,,2,
Austria,,,1,,1,
"Bahamas, The",,1,1,,2,
Bahrain,1,1,,,2,
Bangladesh,1,5,6,,12,
Barbados,,,1,,1,
Belarus,,,1,,1,
Belgium,,,1,,1,
Belize (British Honduras),1,1,,,2,
Bolivia,7,,,,7,
Brazil,4,4,15,,23,
Bulgaria,,1,1,,2,
Burma (Myanmar),,,1,,1,
Cameroon,2,,2,,4,
Canada,6,,10,,16,
Chad,1,,,,1,
Chile,,,4,,4,
"China, People's Rep of",20,258,412,,690,
Colombia,,12,28,,40,
Costa Rica,1,2,1,,4,
Czech Republic,1,1,,,2,
Ecuador,,2,4,,6,
Egypt (A.R.E.),,4,20,,24,
El Salvador,2,3,,,5,
England,,1,,,1,
Equatorial Guinea,1,,,,1,
Ethiopia,,1,2,,3,
France,1,4,2,,7,
Georgia (C.I.S.),,,1,,1,
Germany,,,5,,5,
Ghana,,3,,,3,
Greece,,1,1,,2,
Grenada,1,,,,1,
Page 153,,,,,,
