Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,PSSC,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,
,RLEM,,,,,,,,,,,,,,
,RPTS,,,,,,,,,,,,,,
,SOSC,,,,,,,,,,,,,,
,SPSA,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,
,WFSC,,,,,,,,,,1,1,,,1
,WISC,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,1,7,9,13,,30,,,,4,4,,,34
Architecture,ARCH,,,,,,,,,,1,1,,,1
,COMG,,,,,,,,,,,,,,
,COSC,,,,,,,,,,,,,,
,COSL,,,,,,,,,,,,,,
,ENDL,,,,,,,,,,,,,,
,ENDS,,,,,,,,,,,,,,
,LAND,,,,,,,,,,,,,,
,LANL,,,,,,,,,,,,,,
,LDEV,,,,,,,,1,1,,,,,1
,URPL,,,,,,,,,,,,,,
,URSC,,,,,,,,,,,,,,
,USAR,,,,,,,,,,,,,,
,VISL,,,,,,,,,,,,,,
,VIST,,,,,,,,1,1,,,,,1
,Subtotal,,,,,,,,2,2,1,1,,,3
Business Admin,ACCT,,,1,,,1,,1,1,1,1,,,3
,AGBU,,,,,,,,,,,,,,
,BHNR,,,,,,,,,,,,,,
,BUAD,1,,,,,1,,1,1,,,,,2
,FINC,,,,,,,,,,1,1,,,1
,INFO,,,,,,,,,,,,,,
,MGMT,,,,,,,,1,1,3,3,,,4
,MISY,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,
