Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,23,,23,,,,,23
,CHLS,,,,,,,11,,11,,,,,11
,CNPM,,,,,,,13,,13,,,,,13
,CNSA,,,,,,,8,,8,,,,,8
,INTA,,,,,,,,15,15,,,,,15
,PSAA,,,,,,,,10,10,,,,,10
,Subtotal,,,,,,,55,25,80,,,,,80
"Geosciences
Liberal Arts",ATMO,,,,,,,,20,20,10,10,,,30
,ENGS,,1,4,26,,31,,,,,,,,31
,ENST,,2,10,12,,24,,,,,,,,24
,GEOG,1,1,3,17,,22,,5,5,4,4,,,31
,GEOL,9,2,7,37,,55,,14,14,7,7,,,76
,GEOP,1,1,2,3,,7,,4,4,2,2,,,13
,GEOS,,,,,,,,2,2,,,,,2
,MARB,,,,,,,,1,1,,,,,1
,METR,1,1,6,9,,17,,,,,,,,17
,OCNG,,,,,,,,15,15,11,11,,,26
,SPSG,,,3,,,3,,,,,,,,3
,USGE,,,,1,,1,,,,,,,,1
,WMHS,,,,,,,,5,5,1,1,,,6
,Subtotal,12,8,35,105,,160,,66,66,35,35,,,261
,ANTH,2,1,15,24,,42,,3,3,8,8,,,53
,CLSS,,,1,,,1,,,,,,,,1
,COMM,1,16,48,87,,152,,2,2,15,15,,,169
,ECON,4,14,60,90,,168,,4,4,6,6,,,178
,ENGL,2,11,45,73,,131,,,,17,17,,,148
,FREN,,,2,3,,5,,,,,,,,5
,GERM,1,,,1,,2,,,,,,,,2
,HISP,,,,,,,,,,,,,,
,HIST,,11,47,90,,148,,,,10,10,,,158
,INTS,3,18,50,78,2,151,,,,,,,,151
,MUSC,1,2,1,4,,8,,,,,,,,8
,NRSC,,,,,,,,1,1,5,5,,,6
,NUTR,,,,,,,,1,1,,,,,1
,PHIL,,2,5,11,,18,,2,2,6,6,,,26
,POLS,,16,50,63,1,130,,9,9,16,16,,,155
