Summer 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,142,163,305,3,3,5,7,12,13,24,37,49,63,112,3,3,7,4,11,2,2,1,1,219,267,486,
"TAMU Age Categories
Classification Tuition Status
Residency Status
SCH Categories Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,1,1,,,1,,1,,,,,1,1,2,
,18-21,142,162,304,3,3,5,7,12,13,24,37,49,62,111,3,3,6,4,10,2,2,1,1,218,265,483,
,22-25,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
,Freshman,139,163,302,3,3,5,7,12,13,24,37,45,61,106,3,3,7,4,11,2,2,1,1,212,265,477,
,Sophomore,3,,3,,,,,,,,,4,2,6,,,,,,,,,,7,2,9,
,Resident Tuition,135,155,290,3,3,5,6,11,12,21,33,46,61,107,3,3,6,4,10,2,2,1,1,207,253,460,
,Non-Resident Tuition,6,8,14,,,,1,1,1,3,4,3,2,5,,,,,,,,,,10,14,24,
,Tuition,1,,1,,,,,,,,,,,,,,1,,1,,,,,2,,2,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,136,156,292,3,3,5,7,12,12,21,33,46,61,107,3,3,7,4,11,2,2,1,1,209,255,464,
,"Non-TX, US Resident",6,6,12,,,,,,1,3,4,3,2,5,,,,,,,,,,10,11,21,
,"Non-TX, Non-US",,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,5,5,10,,,1,,1,,1,1,2,3,5,,,,1,1,,,,,8,10,18,
,6-8 SCH,137,158,295,3,3,4,7,11,13,23,36,47,60,107,3,3,7,3,10,2,2,1,1,211,257,468,
,Less Than Half Time,,1,1,,,,,,1,1,2,,,,,,,,,,,,,1,2,3,
,Half-Time,142,162,304,3,3,5,7,12,12,23,35,49,63,112,3,3,7,4,11,2,2,1,1,218,265,483,
,No,134,151,285,3,3,3,6,9,13,20,33,39,50,89,3,3,7,3,10,2,2,1,1,199,236,435,
,Yes,8,12,20,,,2,1,3,,4,4,10,13,23,,,,1,1,,,,,20,31,51,
,No,106,134,240,1,1,1,3,4,4,12,16,25,29,54,1,1,4,3,7,2,2,1,1,141,185,326,
,Unknown,3,3,6,,,1,,1,1,2,3,2,1,3,,,,,,,,,,7,6,13,
,Yes,33,26,59,2,2,3,4,7,8,10,18,22,33,55,2,2,3,1,4,,,,,71,76,147,
,Off-campus,142,163,305,3,3,5,7,12,13,24,37,49,63,112,3,3,7,4,11,2,2,1,1,219,267,486,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
