Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Business Admin,"MLER USBU
Subtotal",,,,,,,,1,1,,,,,1
,,,,,,,,,,,,,,,
,,,8,28,29,,65,,20,20,5,5,,,90
"Education
Engineering",ATTR,,,,,,,,,,,,,,
,BIED,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,3,3,,,3
,EDAD,,,,,,,,3,3,3,3,,,6
,EDCI,,,,,,,,4,4,1,1,,,5
,EDHL,,,5,2,,7,,,,,,,,7
,EDIS,,,,,,,,,,,,,,
,EDKI,,,3,1,,4,,,,,,,,4
,EDSM,,1,1,,,2,,,,,,,,2
,EDTC,,,,,,,,,,,,,,
,EHRD,,,,,,,,2,2,3,3,,,5
,EPSY,,,,,,,,1,1,1,1,,,2
,HEED,,,,,,,,1,1,1,1,,,2
,HLTH,,,,4,,4,,,,,,,,4
,HRDL,,,3,,,3,,,,,,,,3
,HRDV,,,,1,,1,,,,,,,,1
,INST,,,1,1,,2,,,,,,,,2
,KINE,,,,4,,4,,1,1,2,2,,,7
,SPED,,,,,,,1,,1,,,,,1
,SPMT,,,,,,,,,,,,,,
,SPSY,,,,,,,,,,2,2,,,2
,TCMG,,,,2,,2,,,,,,,,2
,TCML,,,2,,,2,,,,,,,,2
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,,1,15,15,,31,1,12,13,16,16,,,60
,AERL,,,1,,,1,,,,,,,,1
,AERO,,1,2,5,,8,,,,,,,,8
,BIOT,,,,,,,,3,3,,,,,3
,BMEL,1,,,,,1,,,,,,,,1
,BMEN,,1,1,6,,8,,3,3,2,2,,,13
,CECL,,,,1,,1,,,,,,,,1
,CECN,,,2,2,,4,,1,1,1,1,,,6
