Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ADEV,,,,,,,,1,1,,,,,1,
,AGBL,,,,,,,,,,,,,,,
,AGBU,,,1,6,,7,,,,,,,,7,
,AGCJ,1,,2,,,3,,,,,,,,3,
,AGEC,,,5,9,,14,,1,1,,,,,15,
,AGLS,,,5,2,,7,,,,,,,,7,
,AGRO,2,1,,4,,7,,,,,,,,7,
,AGSC,,1,3,4,,8,,,,,,,,8,
,AGSM,,1,2,5,,8,,,,,,,,8,
,ALEC,,,,,,,1,1,2,2,2,,,4,
,ALED,1,3,10,18,,32,,,,,,,,32,
,ANBR,,,,,,,,,,,,,,,
,ANSC,2,2,7,18,,29,,3,3,2,2,,,34,
,BAEN,1,2,7,6,1,17,,3,3,1,1,,,21,
,BESC,,3,7,21,,31,,,,,,,,31,
,BICH,,1,4,4,,9,,,,5,5,,,14,
,CDEV,,1,,2,,3,,,,,,,,3,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,1,,1,,,,,,,,1,
,ENST,1,,1,2,,4,,,,,,,,4,
,ENTO,,1,,7,,8,,4,4,3,3,,,15,
,FISC,,,,,,,,1,1,,,,,1,
,FIVL,,,1,,,1,,,,,,,,1,
,FIVS,,,1,3,,4,,,,,,,,4,
,FORS,,,,,,,,1,1,,,,,1,
,FSTC,,,1,6,,7,,1,1,1,1,,,9,
,GENE,,,1,3,,4,,1,1,3,3,,,8,
,HORT,,,1,3,,4,,,,2,2,,,6,
,MEPS,,,,,,,,1,1,1,1,,,2,
,NRDV,,,,,,,,3,3,,,,,3,
,NUSC,,1,5,16,2,24,,,,,,,,24,
,NUTR,,,,,,,,1,1,,,,,1,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,2,2,6,6,,,8,
,POSC,,2,3,3,,8,,4,4,,,,,12,
,PREP,,,,,,,,1,1,,,,,1,
