Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                                     BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,2,10,14,16,,42,,1,1,,,,,43,
,,,1,3,2,,6,,4,4,6,6,,,16,
,,,,,,,,,,,,,,,,
,,1,2,,1,,4,,,,2,2,,,6,
,,,1,,,,1,,1,1,3,3,,,5,
,,,,,,,,2,6,8,,,,,8,
,,3,14,17,19,,53,2,12,14,11,11,,,78,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,,4,12,29,,45,,1,1,,,3,3,49,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARS MEEN SABX SRPH
Subtotal Total",,,,,,,,2,2,,,,,2,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,2,2,,,,,2,
,,,,,,,,,1,1,3,3,,,4,
,,,4,12,29,,45,,6,6,3,3,3,3,57,
,,15,13,5,,,33,,,,,,,,33,
,,15,13,5,,,33,,,,,,,,33,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,30,61,165,282,6,544,5,96,101,74,74,3,3,722,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,
