Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Liberal Arts,PSYC,,,,,,,,,,,,,,
,RUSS,,,,,,,,,,,,,,
,SOCI,,,,,,,,,,,,,,
,SPAN,,,,,,,,,,,,,,
,TCMS,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,
"Science
Veterinary Medicine
General Studies",APHY,,,,,,,,,,,,,,
,APMS,,,,,,,,,,,,,,
,BIOL,,,,,,,,,,,,,,
,BMCB,,,,,,,,,,,,,,
,CHEM,,,,,,,,,,,,,,
,MATH,,,,,,,,,,,,,,
,MBIO,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,,,,,
,STAT,,,,,,,,,,,,,,
,USSC,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,
,BIMS,,,,,,,,,,,,,,
,BIOT,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,,,
,VTMI,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,
,GEST,1,,,,,1,,,,,,,,1
,TEAM,,1,,,,1,,,,,,,,1
,Subtotal,1,1,,,,2,,,,,,,,2
